user_id,num_product_views,avg_view_time,click_through_rate,avg_cart_value,purchase_frequency,num_categories_browsed,used_discount,membership_status,device_type,referral_channel,days_since_last_login
USER00034,10,56.99,0.71,88.49,4.92,5,1,Free,Mobile,Email,46
USER00035,18,66.21,0.18,92.75,0.23,2,0,Gold,Mobile,Email,10
USER00036,18,25.64,0.62,105.39,4.47,6,0,Silver,Mobile,Ads,7
USER00037,15,81.77,0.44,26.4,0.38,3,0,Silver,Mobile,Email,2
USER00038,13,10.13,0.34,106.82,1.27,3,0,Gold,Desktop,Ads,44
USER00039,21,59.19,0.36,24.14,1.59,1,0,Free,Mobile,Ads,68
USER00040,14,6.81,0.43,104.17,3.17,5,0,Silver,Desktop,Email,42
USER00041,12,29.19,0.28,100.76,2.44,2,0,Free,Tablet,Direct,58
USER00042,12,76.22,0.24,146.77,4.09,2,0,Platinum,Tablet,Social,22
USER00043,22,61.63,0.34,63.01,2.32,3,0,Silver,Desktop,Email,75
USER00044,19,34.08,0.58,52.79,0.62,5,0,Gold,Desktop,Ads,34
USER00045,21,34.62,0.17,83.79,0.3,2,1,Free,Mobile,Direct,11
USER00046,13,47.01,0.38,79.97,0.25,3,0,Free,Desktop,Social,11
USER00047,12,55.28,0.2,141.47,0.14,5,0,Silver,Mobile,Ads,22
USER00048,14,70.03,0.22,32.72,4.04,3,1,Free,Mobile,Direct,76
USER00049,10,35.88,0.76,53.44,1.0,3,0,Gold,Mobile,Email,18
USER00050,23,12.76,0.53,43.31,5.04,7,0,Gold,Mobile,Direct,72
USER00051,15,48.14,0.08,88.11,2.24,5,0,Silver,Tablet,Direct,35
USER00052,25,35.85,0.39,61.17,4.61,3,1,Silver,Tablet,Direct,60
USER00053,15,18.99,0.08,88.1,3.04,2,1,Silver,Mobile,Ads,61
USER00054,12,50.95,0.45,94.32,1.31,3,0,Platinum,Mobile,Social,60
USER00055,16,40.74,0.06,91.54,0.38,2,1,Platinum,Desktop,Email,17
USER00056,7,51.13,0.05,73.23,0.44,3,0,Silver,Desktop,Email,80
USER00057,21,27.11,0.37,96.15,0.7,5,0,Free,Mobile,Social,58
USER00058,10,54.73,0.15,80.52,0.04,1,0,Free,Mobile,Email,48
USER00059,17,18.66,0.56,61.44,1.65,2,0,Silver,Mobile,Direct,63
USER00060,12,28.45,0.2,60.05,1.22,6,0,Free,Desktop,Email,19
USER00061,13,40.14,0.38,67.02,0.16,1,0,Free,Tablet,Direct,86
USER00062,17,79.84,0.34,119.47,2.61,8,1,Free,Mobile,Ads,69
USER00063,9,60.7,0.13,75.98,2.59,6,0,Free,Mobile,Social,39
USER00064,13,66.54,0.49,78.13,0.19,5,1,Gold,Desktop,Social,21
USER00065,17,73.34,0.23,72.62,0.34,3,0,Free,Tablet,Ads,33
USER00066,15,117.06,0.34,44.72,0.43,0,1,Free,Mobile,Direct,48
USER00067,17,45.83,0.27,25.77,1.12,3,1,Free,Desktop,Ads,62
USER00068,17,73.41,0.55,85.59,4.35,6,1,Gold,Mobile,Social,0
USER00069,22,65.25,0.61,48.0,1.64,4,0,Free,Desktop,Ads,40
USER00070,13,64.92,0.11,88.81,1.71,6,1,Free,Desktop,Social,48
USER00071,12,80.48,0.17,74.86,0.52,5,0,Gold,Mobile,Ads,10
USER00072,19,36.61,0.13,106.13,1.47,3,0,Free,Desktop,Social,60
USER00073,15,35.03,0.07,98.84,0.36,10,0,Free,Desktop,Social,26
USER00074,21,51.4,0.16,94.13,1.86,7,0,Silver,Mobile,Direct,5
USER00075,13,41.35,0.09,47.94,0.4,4,0,Free,Mobile,Social,56
USER00076,17,51.37,0.39,11.98,0.02,5,1,Silver,Mobile,Email,30
USER00077,16,76.25,0.03,112.61,1.11,5,0,Free,Desktop,Direct,62
USER00078,9,35.44,0.14,77.39,0.53,4,0,Silver,Desktop,Email,81
USER00079,15,38.91,0.29,71.65,1.49,3,0,Silver,Mobile,Direct,75
USER00080,17,48.49,0.34,67.87,2.06,7,0,Free,Mobile,Email,61
USER00081,18,40.43,0.26,91.19,2.52,3,1,Free,Mobile,Direct,5
USER00082,13,6.72,0.18,110.71,5.98,7,1,Free,Tablet,Email,66
USER00083,17,33.4,0.26,58.41,1.22,8,0,Free,Mobile,Ads,76
USER00084,9,58.75,0.23,26.27,0.99,7,1,Free,Mobile,Email,18
USER00085,12,73.75,0.43,128.42,0.42,2,0,Platinum,Mobile,Direct,76
USER00086,21,21.91,0.2,86.68,2.06,6,1,Free,Mobile,Social,7
USER00087,19,21.81,0.27,88.43,0.99,4,1,Free,Tablet,Ads,45
USER00088,16,45.6,0.29,-3.2,0.59,1,1,Free,Mobile,Email,57
USER00089,11,3.49,0.11,83.19,0.85,1,0,Silver,Mobile,Email,52
USER00090,12,36.1,0.27,15.64,0.69,9,0,Free,Mobile,Direct,28
USER00091,17,10.28,0.41,66.0,5.76,1,0,Platinum,Mobile,Email,88
USER00092,21,72.38,0.21,95.9,0.38,6,1,Free,Desktop,Social,11
USER00093,12,29.61,0.21,84.63,0.8,3,0,Free,Mobile,Social,20
USER00094,20,78.06,0.05,96.2,0.55,0,0,Free,Mobile,Social,72
USER00095,11,67.27,0.16,58.75,0.28,4,1,Free,Mobile,Ads,59
USER00096,22,32.07,0.49,47.55,0.53,5,1,Platinum,Mobile,Email,80
USER00097,16,23.56,0.13,64.62,1.01,2,0,Gold,Mobile,Ads,16
USER00098,10,41.13,0.28,74.22,1.5,3,0,Free,Mobile,Ads,71
USER00099,20,42.91,0.2,57.68,1.44,6,1,Free,Mobile,Ads,40
USER00100,17,51.92,0.11,71.93,2.22,6,1,Silver,Mobile,Social,8
USER00101,13,29.47,0.04,75.42,0.11,7,0,Free,Mobile,Social,69
USER00102,15,59.93,0.31,82.85,0.57,3,0,Platinum,Mobile,Social,1
USER00103,19,50.31,0.23,139.68,0.65,4,1,Silver,Desktop,Direct,25
USER00104,17,38.19,0.18,45.92,1.77,7,1,Silver,Mobile,Social,36
USER00105,21,30.76,0.22,96.07,0.35,4,0,Free,Mobile,Ads,54
USER00106,13,41.3,0.01,75.93,0.36,3,1,Free,Desktop,Ads,21
USER00107,16,28.66,0.28,129.78,0.15,3,0,Silver,Mobile,Email,7
USER00108,15,46.17,0.15,49.08,1.14,3,0,Free,Mobile,Social,71
USER00109,12,46.71,0.56,68.21,1.95,4,1,Platinum,Mobile,Social,15
USER00110,4,50.23,0.28,64.1,1.79,5,0,Free,Mobile,Direct,51
USER00111,19,80.32,0.18,13.41,2.04,2,0,Silver,Mobile,Social,68
USER00112,10,42.35,0.13,75.08,0.28,4,1,Free,Desktop,Social,58
USER00113,18,65.09,0.42,78.64,1.32,3,0,Free,Mobile,Social,39
USER00114,16,49.59,0.69,56.02,0.15,3,0,Platinum,Mobile,Email,89
USER00115,7,40.24,0.51,12.34,5.1,3,0,Silver,Mobile,Email,28
USER00116,15,42.62,0.23,101.75,0.17,5,0,Gold,Mobile,Ads,50
USER00117,15,43.82,0.23,126.46,3.15,8,0,Free,Mobile,Direct,24
USER00118,19,50.6,0.3,112.53,0.06,4,1,Silver,Mobile,Email,55
USER00119,14,25.81,0.15,76.03,1.14,4,1,Free,Mobile,Ads,3
USER00120,19,15.69,0.34,70.86,2.87,5,0,Free,Desktop,Email,75
USER00121,14,58.09,0.06,111.99,1.51,3,0,Free,Mobile,Ads,81
USER00122,10,62.96,0.67,111.58,1.02,4,0,Free,Desktop,Social,30
USER00123,16,59.91,0.22,80.79,0.2,2,0,Gold,Mobile,Ads,16
USER00124,17,48.1,0.37,77.28,1.61,6,0,Silver,Mobile,Social,81
USER00125,16,60.34,0.12,94.58,1.38,1,0,Free,Mobile,Ads,65
USER00126,14,59.27,0.48,80.78,0.92,6,0,Free,Mobile,Direct,42
USER00127,13,60.75,0.15,115.31,0.4,8,0,Platinum,Mobile,Email,11
USER00128,6,27.81,0.07,92.03,0.37,0,1,Platinum,Mobile,Direct,16
USER00129,15,23.06,0.39,96.35,5.26,1,1,Platinum,Desktop,Direct,45
USER00130,15,37.23,0.75,95.04,5.03,4,0,Free,Mobile,Direct,19
USER00131,11,44.65,0.3,72.37,4.15,4,0,Gold,Mobile,Ads,6
USER00132,14,40.16,0.05,129.15,1.09,2,0,Silver,Desktop,Direct,3
USER00133,17,7.47,0.24,72.51,6.67,3,0,Gold,Desktop,Email,74
USER00134,13,79.43,0.37,69.72,0.53,5,0,Silver,Mobile,Direct,44
USER00135,15,39.52,0.18,67.49,0.84,4,1,Free,Tablet,Direct,56
USER00136,17,48.45,0.5,128.82,0.29,4,1,Free,Mobile,Direct,84
USER00137,8,69.89,0.67,24.83,0.94,5,0,Free,Mobile,Ads,23
USER00138,23,-1.9,0.27,56.73,0.31,5,1,Free,Mobile,Social,54
USER00139,14,34.77,0.2,96.54,0.1,4,0,Free,Mobile,Ads,62
USER00140,14,37.26,0.25,85.69,0.02,5,0,Silver,Desktop,Ads,41
USER00141,23,38.27,0.34,82.52,0.71,3,0,Gold,Tablet,Social,74
USER00142,11,41.53,0.2,88.31,3.42,2,0,Silver,Mobile,Direct,71
USER00143,9,73.94,0.3,109.62,0.86,5,1,Free,Desktop,Direct,17
USER00144,9,58.47,0.01,82.08,1.56,5,1,Silver,Desktop,Email,4
USER00145,8,64.16,0.17,80.82,2.55,5,1,Silver,Mobile,Direct,21
USER00146,20,45.94,0.3,115.15,1.21,7,1,Gold,Tablet,Email,4
USER00147,19,17.01,0.16,82.13,1.24,4,0,Gold,Mobile,Direct,40
USER00148,16,3.41,0.25,97.11,1.11,4,0,Silver,Tablet,Social,68
USER00149,12,14.41,0.31,-2.58,0.2,6,0,Gold,Mobile,Social,8
USER00150,13,52.2,0.1,62.09,1.51,6,0,Platinum,Desktop,Social,28
USER00151,13,45.64,0.16,54.25,1.93,6,0,Free,Tablet,Ads,19
USER00152,20,40.8,0.61,53.2,0.0,7,0,Free,Desktop,Direct,26
USER00153,18,37.63,0.15,64.64,0.13,2,1,Free,Mobile,Direct,85
USER00154,15,85.23,0.12,63.78,1.17,4,0,Free,Mobile,Social,79
USER00155,13,28.54,0.47,101.68,2.74,3,0,Free,Desktop,Social,4
USER00156,14,63.56,0.37,52.51,1.14,3,1,Free,Mobile,Email,13
USER00157,21,45.04,0.43,103.59,0.86,8,1,Silver,Tablet,Ads,88
USER00158,13,43.78,0.43,98.2,4.14,7,0,Silver,Desktop,Direct,21
USER00159,24,68.53,0.41,43.45,0.12,1,1,Free,Tablet,Social,54
USER00160,16,74.25,0.57,31.71,0.22,4,0,Platinum,Mobile,Social,36
USER00161,12,40.21,0.37,66.24,1.73,5,1,Free,Mobile,Social,12
USER00162,17,60.98,0.45,109.73,0.17,2,1,Gold,Mobile,Direct,51
USER00163,9,52.28,0.46,84.28,0.22,2,1,Platinum,Desktop,Social,12
USER00164,7,45.15,0.04,129.6,3.08,3,0,Gold,Mobile,Social,75
USER00165,14,49.09,0.28,32.51,0.35,1,1,Free,Desktop,Direct,14
USER00166,13,31.24,0.23,37.0,1.46,9,1,Gold,Mobile,Ads,31
USER00167,10,38.88,0.09,41.24,0.76,2,1,Free,Tablet,Social,37
USER00168,16,33.39,0.38,96.31,0.22,5,0,Free,Desktop,Social,26
USER00169,17,63.03,0.25,95.51,0.73,6,0,Platinum,Tablet,Direct,69
USER00170,13,43.1,0.26,90.1,0.81,3,1,Free,Mobile,Social,76
USER00171,13,19.05,0.28,83.68,1.49,6,1,Free,Mobile,Ads,9
USER00172,18,30.53,0.31,119.58,0.25,4,0,Free,Tablet,Direct,65
USER00173,14,-18.99,0.26,74.18,0.06,4,1,Silver,Desktop,Direct,20
USER00174,9,35.11,0.16,109.4,1.4,2,0,Free,Mobile,Direct,75
USER00175,7,45.75,0.09,143.37,0.1,4,0,Free,Mobile,Direct,73
USER00176,9,42.28,0.36,55.31,0.25,3,0,Free,Desktop,Ads,50
USER00177,18,84.6,0.18,61.23,5.98,5,1,Free,Mobile,Social,51
USER00178,25,56.5,0.09,17.71,0.03,5,0,Silver,Desktop,Social,76
USER00179,8,55.61,0.02,95.81,1.54,4,0,Gold,Mobile,Email,13
USER00180,16,12.13,0.24,65.41,0.22,2,0,Silver,Desktop,Ads,75
USER00181,14,37.71,0.5,72.73,2.58,1,1,Silver,Mobile,Email,57
USER00182,6,35.27,0.22,135.56,1.31,4,0,Silver,Mobile,Social,2
USER00183,14,29.28,0.37,93.85,0.96,2,0,Silver,Tablet,Social,21
USER00184,12,29.0,0.07,49.76,0.93,9,1,Free,Mobile,Ads,35
USER00185,15,8.84,0.18,63.67,1.67,5,1,Free,Tablet,Social,69
USER00186,16,19.48,0.24,53.53,2.74,4,1,Free,Mobile,Social,5
USER00187,17,62.48,0.19,86.79,0.01,3,0,Free,Desktop,Social,86
USER00188,13,42.14,0.25,80.76,0.03,4,1,Silver,Mobile,Direct,3
USER00189,17,34.87,0.4,114.64,0.48,2,0,Silver,Mobile,Email,2
USER00190,21,44.89,0.28,85.77,2.01,3,0,Free,Tablet,Ads,42
USER00191,23,68.35,0.11,67.9,0.32,2,0,Free,Mobile,Ads,62
USER00192,16,45.08,0.13,83.86,0.78,6,0,Free,Mobile,Social,6
USER00193,22,55.81,0.13,43.64,1.06,5,0,Gold,Mobile,Email,73
USER00194,6,28.07,0.46,62.49,0.7,3,0,Free,Tablet,Direct,56
USER00195,13,32.63,0.31,78.18,0.94,4,0,Free,Desktop,Email,46
USER00196,16,52.08,0.2,121.93,2.4,4,0,Free,Desktop,Social,30
USER00197,19,82.85,0.13,101.51,0.39,1,0,Free,Mobile,Email,45
USER00198,14,73.6,0.26,82.84,0.59,3,1,Silver,Mobile,Ads,79
USER00199,20,56.66,0.2,90.38,1.12,6,0,Free,Tablet,Ads,57
USER00200,14,48.03,0.24,110.28,3.0,4,0,Silver,Desktop,Social,82
USER00201,24,73.02,0.35,73.45,0.34,3,0,Free,Desktop,Direct,24
USER00202,12,60.89,0.4,103.45,1.12,4,0,Silver,Mobile,Direct,0
USER00203,16,-0.87,0.33,63.3,3.13,4,0,Platinum,Desktop,Ads,20
USER00204,9,23.92,0.42,84.95,0.18,5,1,Platinum,Mobile,Direct,58
USER00205,15,51.76,0.07,108.03,1.92,4,1,Gold,Mobile,Email,22
USER00206,15,9.26,0.31,105.69,0.38,5,1,Free,Tablet,Direct,21
USER00207,16,27.05,0.44,22.72,0.29,9,0,Free,Mobile,Social,33
USER00208,20,31.0,0.21,82.53,0.4,3,1,Silver,Desktop,Ads,81
USER00209,10,39.88,0.04,97.38,1.05,4,0,Free,Mobile,Direct,80
USER00210,18,39.25,0.2,61.55,1.39,4,1,Free,Desktop,Direct,45
USER00211,17,39.22,0.39,104.43,0.32,5,0,Silver,Desktop,Social,76
USER00212,10,61.51,0.47,44.53,0.18,2,0,Free,Tablet,Social,72
USER00213,13,39.7,0.16,49.08,0.9,4,0,Free,Desktop,Social,88
USER00214,14,37.31,0.18,-8.88,0.09,0,1,Free,Mobile,Email,23
USER00215,21,18.02,0.4,64.21,1.16,6,0,Free,Desktop,Ads,82
USER00216,15,65.49,0.17,10.7,1.72,5,0,Gold,Mobile,Social,35
USER00217,14,31.57,0.34,110.98,4.37,3,1,Platinum,Desktop,Social,76
USER00218,15,23.26,0.16,133.58,0.23,7,1,Platinum,Desktop,Social,75
USER00219,15,49.26,0.13,47.24,0.85,6,0,Gold,Tablet,Direct,59
USER00220,17,29.66,0.15,69.38,0.44,6,1,Platinum,Mobile,Social,64
USER00221,8,34.48,0.09,78.22,0.37,5,0,Silver,Mobile,Email,32
USER00222,10,50.17,0.36,49.49,1.1,6,0,Silver,Mobile,Direct,77
USER00223,10,38.47,0.03,87.29,0.23,5,0,Free,Mobile,Social,83
USER00224,11,91.23,0.16,69.93,0.02,5,0,Free,Mobile,Ads,9
USER00225,21,43.5,0.32,34.32,0.27,3,1,Silver,Desktop,Email,60
USER00226,17,57.36,0.38,87.25,0.61,9,0,Gold,Tablet,Direct,35
USER00227,11,6.17,0.44,90.65,0.02,3,0,Platinum,Desktop,Social,66
USER00228,11,27.79,0.12,13.45,2.92,3,0,Silver,Desktop,Direct,68
USER00229,11,23.26,0.47,74.57,1.31,2,1,Gold,Mobile,Direct,41
USER00230,10,25.91,0.39,62.23,0.04,4,0,Free,Mobile,Email,6
USER00231,11,53.31,0.4,83.31,0.39,4,0,Free,Desktop,Direct,20
USER00232,15,65.71,0.68,114.96,1.64,7,1,Free,Mobile,Ads,59
USER00233,16,51.89,0.28,109.98,0.05,6,0,Silver,Desktop,Ads,1
USER00234,7,40.47,0.33,105.88,0.71,1,1,Silver,Desktop,Social,28
USER00235,11,32.38,0.36,79.39,0.15,8,1,Free,Mobile,Email,31
USER00236,13,67.27,0.17,67.1,0.75,7,0,Free,Mobile,Ads,67
USER00237,16,86.43,0.68,13.45,5.16,4,0,Gold,Mobile,Social,11
USER00238,14,47.7,0.22,99.16,0.91,0,1,Silver,Desktop,Direct,79
USER00239,15,63.79,0.34,103.84,1.43,4,1,Platinum,Mobile,Direct,30
USER00240,9,51.87,0.15,24.9,0.79,4,1,Free,Mobile,Social,45
USER00241,15,60.11,0.04,88.73,0.57,4,0,Platinum,Desktop,Ads,9
USER00242,12,21.71,0.38,105.81,1.41,3,0,Platinum,Mobile,Direct,44
USER00243,11,35.24,0.33,48.72,1.45,5,0,Gold,Desktop,Ads,74
USER00244,10,52.91,0.07,98.86,1.43,2,0,Silver,Desktop,Direct,0
USER00245,16,69.25,0.22,40.29,0.04,9,0,Silver,Desktop,Ads,16
USER00246,19,28.64,0.08,61.14,1.79,3,0,Platinum,Mobile,Direct,72
USER00247,9,4.33,0.17,39.89,1.69,3,0,Free,Mobile,Social,70
USER00248,16,35.03,0.26,99.39,0.11,1,1,Free,Desktop,Direct,64
USER00249,14,65.2,0.09,99.26,0.32,4,0,Platinum,Mobile,Ads,73
USER00250,12,13.32,0.11,59.04,1.1,2,0,Platinum,Desktop,Direct,54
USER00251,17,21.46,0.36,37.55,0.67,4,1,Free,Mobile,Ads,22
USER00252,16,48.12,0.24,154.21,1.29,7,0,Gold,Mobile,Social,68
USER00253,9,42.68,0.56,77.27,2.14,2,0,Silver,Mobile,Ads,75
USER00254,12,56.89,0.42,73.43,1.19,5,1,Silver,Tablet,Email,80
USER00255,11,20.43,0.19,51.27,0.92,4,0,Silver,Tablet,Email,84
USER00256,11,38.5,0.73,45.73,0.46,4,0,Free,Desktop,Email,86
USER00257,8,68.9,0.55,91.06,1.43,5,0,Free,Mobile,Direct,28
USER00258,9,21.14,0.29,85.59,2.63,7,0,Free,Mobile,Email,66
USER00259,19,74.54,0.13,59.45,0.46,5,1,Free,Desktop,Direct,13
USER00260,11,23.65,0.39,100.02,2.33,2,1,Free,Mobile,Direct,86
USER00261,22,61.99,0.4,68.59,0.81,1,1,Free,Mobile,Social,82
USER00262,16,37.54,0.21,94.12,0.18,2,0,Free,Desktop,Email,89
USER00263,18,22.1,0.29,86.8,3.62,5,1,Gold,Mobile,Ads,83
USER00264,13,35.06,0.24,70.36,1.72,4,1,Free,Desktop,Ads,72
USER00265,15,55.9,0.48,97.48,2.76,5,0,Free,Mobile,Ads,10
USER00266,9,44.86,0.43,108.0,1.6,2,0,Free,Tablet,Ads,68
USER00267,12,67.37,0.26,105.53,0.2,5,0,Free,Desktop,Direct,77
USER00268,10,73.71,0.41,31.27,1.17,4,0,Free,Mobile,Email,39
USER00269,15,21.34,0.2,107.84,1.51,0,0,Free,Mobile,Email,87
USER00270,13,19.87,0.16,89.96,0.45,7,0,Silver,Desktop,Email,85
USER00271,13,18.9,0.25,93.48,1.5,5,0,Free,Mobile,Ads,48
USER00272,12,27.02,0.57,11.69,1.25,0,0,Platinum,Desktop,Ads,35
USER00273,18,67.08,0.11,31.11,0.03,3,0,Silver,Mobile,Ads,9
USER00274,15,56.21,0.3,67.68,3.21,2,1,Free,Mobile,Direct,58
USER00275,13,34.1,0.19,20.82,1.14,6,0,Platinum,Mobile,Direct,4
USER00276,10,44.78,0.39,126.55,1.32,7,1,Silver,Mobile,Direct,4
USER00277,23,73.09,0.03,49.33,0.25,3,1,Free,Tablet,Social,70
USER00278,8,83.16,0.15,39.57,2.44,6,0,Free,Mobile,Direct,42
USER00279,16,50.19,0.27,62.84,1.14,4,1,Free,Mobile,Email,47
USER00280,10,-8.19,0.04,68.37,0.14,3,1,Silver,Mobile,Email,20
USER00281,11,50.95,0.69,82.72,1.81,2,0,Free,Mobile,Ads,72
USER00282,17,63.69,0.5,6.92,1.01,2,0,Gold,Mobile,Email,54
USER00283,13,49.49,0.17,35.22,0.61,2,0,Free,Mobile,Social,44
USER00284,14,59.53,0.12,57.69,3.82,6,0,Free,Mobile,Direct,4
USER00285,14,52.14,0.06,91.82,2.58,2,0,Gold,Mobile,Social,5
USER00286,14,20.31,0.24,67.53,0.07,7,1,Free,Mobile,Email,41
USER00287,18,27.28,0.37,80.1,1.8,6,1,Silver,Mobile,Email,61
USER00288,12,38.58,0.16,108.39,0.28,9,1,Free,Mobile,Direct,88
USER00289,14,66.31,0.05,72.59,0.03,2,0,Free,Mobile,Ads,1
USER00290,21,29.68,0.27,89.31,0.37,5,1,Platinum,Mobile,Email,88
USER00291,16,54.12,0.16,72.31,0.07,2,0,Platinum,Mobile,Social,31
USER00292,10,51.07,0.23,114.67,1.53,3,0,Silver,Tablet,Email,0
USER00293,16,76.72,0.22,95.25,2.12,4,1,Free,Mobile,Social,4
USER00294,10,44.17,0.23,-8.03,0.29,4,0,Gold,Mobile,Ads,83
USER00295,12,9.9,0.49,86.65,0.35,6,1,Silver,Mobile,Email,52
USER00296,13,57.94,0.5,133.17,0.22,3,1,Silver,Mobile,Ads,48
USER00297,10,87.76,0.54,111.7,1.24,3,0,Silver,Tablet,Ads,46
USER00298,19,59.25,0.26,60.52,1.01,4,1,Free,Mobile,Direct,50
USER00299,12,29.25,0.06,98.38,0.01,3,0,Free,Desktop,Ads,3
USER00300,18,23.36,0.31,48.51,0.69,3,0,Free,Desktop,Direct,52
USER00301,17,25.94,0.48,69.13,0.14,7,0,Free,Mobile,Ads,27
USER00302,12,85.07,0.36,53.57,1.3,7,1,Silver,Mobile,Ads,87
USER00303,16,38.45,0.31,79.06,0.96,4,1,Free,Desktop,Email,39
USER00304,10,31.75,0.47,137.29,0.92,5,0,Platinum,Desktop,Direct,6
USER00305,15,41.83,0.45,24.97,1.99,2,0,Gold,Tablet,Direct,1
USER00306,22,38.66,0.46,96.62,0.92,3,1,Silver,Mobile,Email,74
USER00307,17,76.35,0.27,53.67,1.0,6,1,Free,Desktop,Direct,81
USER00308,16,24.71,0.45,48.65,1.5,6,1,Silver,Mobile,Ads,14
USER00309,14,68.61,0.13,88.08,0.54,3,0,Free,Tablet,Social,23
USER00310,22,47.44,0.42,75.89,4.16,10,1,Free,Mobile,Direct,15
USER00311,14,69.14,0.26,85.25,0.5,9,1,Free,Mobile,Social,85
USER00312,20,76.65,0.21,73.53,3.68,2,0,Free,Desktop,Direct,2
USER00313,16,46.7,0.18,70.37,2.52,2,0,Free,Mobile,Ads,54
USER00314,7,38.7,0.09,77.9,3.55,4,0,Free,Mobile,Social,48
USER00315,19,46.32,0.15,72.15,0.3,4,1,Free,Mobile,Ads,5
USER00316,13,43.1,0.4,67.94,0.39,8,1,Free,Mobile,Ads,15
USER00317,15,11.86,0.5,76.75,2.82,2,1,Free,Mobile,Direct,18
USER00318,13,76.05,0.17,59.98,4.73,5,0,Free,Mobile,Email,3
USER00319,18,49.92,0.09,119.37,2.1,5,0,Gold,Desktop,Social,33
USER00320,11,21.74,0.35,26.62,1.52,7,0,Free,Mobile,Direct,39
USER00321,10,3.65,0.27,32.12,2.49,2,1,Free,Tablet,Ads,5
USER00322,15,-1.55,0.08,122.53,0.06,6,1,Gold,Tablet,Social,23
USER00323,21,60.41,0.2,96.43,2.89,2,0,Free,Desktop,Social,78
USER00324,16,32.62,0.51,37.46,0.5,2,1,Free,Mobile,Social,71
USER00325,10,35.9,0.16,96.46,0.09,4,0,Free,Mobile,Ads,5
USER00326,15,54.76,0.38,53.07,1.72,4,0,Gold,Mobile,Direct,52
USER00327,8,34.68,0.17,87.44,2.1,4,0,Gold,Mobile,Direct,41
USER00328,11,55.93,0.38,74.2,1.48,1,0,Silver,Mobile,Social,60
USER00329,16,46.91,0.49,89.36,0.65,6,1,Silver,Desktop,Social,36
USER00330,18,43.32,0.31,79.75,0.19,4,1,Free,Mobile,Ads,44
USER00331,15,13.54,0.07,49.67,2.2,4,0,Silver,Mobile,Social,40
USER00332,14,28.61,0.42,59.67,0.07,4,0,Gold,Mobile,Social,57
USER00333,10,57.05,0.3,77.56,2.14,3,1,Free,Mobile,Direct,8
USER00334,13,31.36,0.56,32.7,4.74,1,1,Gold,Mobile,Email,29
USER00335,17,69.11,0.1,56.74,8.62,7,0,Silver,Mobile,Ads,31
