customer_id,signup_date,last_active_date,tenure_months,subscription_type,monthly_fee,auto_renew,payment_method,num_logins_last_30d,support_tickets,feature_usage_score,discount_used,referral_channel,country,is_churned
CUST00064,2019-01-10 08:25:55.355535553,2021-03-26 08:25:55.355535553,64,Premium,30,1,PayPal,12,4,3.8,0,Partner,Canada,0
CUST00065,2019-01-10 11:56:19.657965796,2020-01-20 11:56:19.657965796,64,Premium,10,0,Other,10,2,13.43,1,Paid,France,1
CUST00066,2019-01-10 15:26:43.960396039,2020-08-26 15:26:43.960396039,64,Free,30,1,Wallet,11,1,33.13,0,Partner,Canada,0
CUST00067,2019-01-10 18:57:08.262826282,2020-01-14 18:57:08.262826282,64,Basic,10,1,Wallet,20,2,39.31,0,Partner,Germany,0
CUST00068,2019-01-10 22:27:32.565256525,2019-05-11 22:27:32.565256525,64,Basic,30,1,Card,6,1,19.86,1,Organic,India,1
CUST00069,2019-01-11 01:57:56.867686768,2020-02-11 01:57:56.867686768,63,Basic,10,1,Card,11,0,25.09,1,Organic,US,1
CUST00070,2019-01-11 05:28:21.170117011,2020-05-09 05:28:21.170117011,63,Free,30,0,Wallet,10,2,18.22,0,Paid,India,0
CUST00071,2019-01-11 08:58:45.472547254,2020-04-12 08:58:45.472547254,63,Premium,0,1,Card,8,0,18.86,1,Partner,UK,0
CUST00072,2019-01-11 12:29:09.774977497,2020-07-02 12:29:09.774977497,63,Basic,10,1,PayPal,11,2,23.34,1,Organic,Canada,0
CUST00073,2019-01-11 15:59:34.077407740,2021-03-26 15:59:34.077407740,63,Premium,30,1,PayPal,11,2,30.64,0,Partner,UK,0
CUST00074,2019-01-11 19:29:58.379837983,2019-03-16 19:29:58.379837983,63,Basic,30,1,Other,13,3,43.04,0,Organic,France,1
CUST00075,2019-01-11 23:00:22.682268226,2019-09-03 23:00:22.682268226,63,Free,30,1,PayPal,8,0,11.74,1,Organic,France,0
CUST00076,2019-01-12 02:30:46.984698469,2019-05-02 02:30:46.984698469,63,Premium,0,0,Card,9,1,11.83,0,Organic,Canada,0
CUST00077,2019-01-12 06:01:11.287128712,2020-08-25 06:01:11.287128712,63,Free,0,0,Card,7,1,57.31,1,Paid,Canada,0
CUST00078,2019-01-12 09:31:35.589558955,2020-03-04 09:31:35.589558955,63,Premium,10,1,Card,12,2,27.18,0,Paid,UK,0
CUST00079,2019-01-12 13:01:59.891989198,2019-02-12 13:01:59.891989198,63,Premium,0,1,Card,17,1,63.53,0,Organic,India,1
CUST00080,2019-01-12 16:32:24.194419441,2020-03-06 16:32:24.194419441,63,Free,30,1,Wallet,14,1,17.9,0,Organic,India,0
CUST00081,2019-01-12 20:02:48.496849684,2020-08-29 20:02:48.496849684,63,Premium,10,1,Wallet,11,2,39.75,1,Referral,Germany,0
CUST00082,2019-01-12 23:33:12.799279927,2019-05-27 23:33:12.799279927,63,Basic,10,0,Wallet,9,0,29.35,1,Organic,France,0
CUST00083,2019-01-13 03:03:37.101710171,2021-03-24 03:03:37.101710171,63,Free,0,1,Wallet,10,0,24.7,0,Organic,US,0
CUST00084,2019-01-13 06:34:01.404140414,2021-05-13 06:34:01.404140414,63,Premium,10,0,PayPal,12,3,24.29,1,Paid,UK,0
CUST00085,2019-01-13 10:04:25.706570657,2020-06-02 10:04:25.706570657,63,Basic,10,0,Card,13,0,2.12,0,Organic,India,1
CUST00086,2019-01-13 13:34:50.009000900,2021-01-14 13:34:50.009000900,63,Premium,0,1,PayPal,13,2,42.52,0,Organic,UK,0
CUST00087,2019-01-13 17:05:14.311431143,2020-03-19 17:05:14.311431143,63,Premium,10,1,Card,11,0,35.68,0,Partner,US,0
CUST00088,2019-01-13 20:35:38.613861386,2021-02-10 20:35:38.613861386,63,Premium,10,0,Wallet,12,3,75.69,0,Partner,France,1
CUST00089,2019-01-14 00:06:02.916291629,2020-08-21 00:06:02.916291629,63,Basic,30,1,PayPal,12,3,18.84,0,Organic,UK,1
CUST00090,2019-01-14 03:36:27.218721872,2019-07-24 03:36:27.218721872,63,Basic,10,1,Card,9,1,53.74,0,Referral,France,0
CUST00091,2019-01-14 07:06:51.521152115,2019-09-02 07:06:51.521152115,63,Premium,10,0,Wallet,14,2,46.66,0,Paid,France,0
CUST00092,2019-01-14 10:37:15.823582358,2019-11-09 10:37:15.823582358,63,Free,30,1,Other,11,0,30.15,0,Organic,India,0
CUST00093,2019-01-14 14:07:40.126012601,2021-06-24 14:07:40.126012601,63,Basic,30,1,Card,13,1,23.65,0,Referral,US,1
CUST00094,2019-01-14 17:38:04.428442844,2021-05-08 17:38:04.428442844,63,Basic,30,1,Other,15,0,20.76,1,Referral,India,0
CUST00095,2019-01-14 21:08:28.730873087,2019-11-10 21:08:28.730873087,63,Free,30,0,Card,12,4,10.72,0,Organic,India,1
CUST00096,2019-01-15 00:38:53.033303330,2020-05-14 00:38:53.033303330,63,Basic,10,1,Wallet,9,1,23.74,1,Organic,France,0
CUST00097,2019-01-15 04:09:17.335733573,2020-05-20 04:09:17.335733573,63,Premium,30,1,PayPal,9,2,20.49,1,Paid,Canada,0
CUST00098,2019-01-15 07:39:41.638163816,2021-02-09 07:39:41.638163816,63,Premium,0,0,Card,11,0,5.95,0,Paid,Germany,1
CUST00099,2019-01-15 11:10:05.940594059,2019-10-23 11:10:05.940594059,63,Free,10,0,Other,12,1,24.35,1,Organic,India,0
CUST00100,2019-01-15 14:40:30.243024302,2021-01-15 14:40:30.243024302,63,Free,30,0,Wallet,8,0,42.07,0,Organic,Germany,0
CUST00101,2019-01-15 18:10:54.545454545,2019-12-06 18:10:54.545454545,63,Basic,10,0,Card,12,1,21.56,0,Organic,Canada,0
CUST00102,2019-01-15 21:41:18.847884788,2021-02-07 21:41:18.847884788,63,Premium,30,0,Other,13,1,50.17,0,Organic,India,0
CUST00103,2019-01-16 01:11:43.150315031,2021-02-03 01:11:43.150315031,63,Free,30,1,Card,7,0,10.11,0,Paid,UK,0
CUST00104,2019-01-16 04:42:07.452745274,2021-03-04 04:42:07.452745274,63,Premium,10,1,Other,10,1,68.44,0,Paid,Germany,1
CUST00105,2019-01-16 08:12:31.755175517,2020-01-18 08:12:31.755175517,63,Free,30,1,Card,11,4,21.35,0,Partner,India,1
CUST00106,2019-01-16 11:42:56.057605760,2019-04-08 11:42:56.057605760,63,Premium,10,1,PayPal,15,0,21.32,0,Partner,US,0
CUST00107,2019-01-16 15:13:20.360036003,2021-04-16 15:13:20.360036003,63,Basic,10,1,PayPal,14,1,27.04,0,Partner,UK,0
CUST00108,2019-01-16 18:43:44.662466246,2019-09-19 18:43:44.662466246,63,Premium,30,1,PayPal,13,1,41.59,1,Referral,France,1
CUST00109,2019-01-16 22:14:08.964896489,2021-03-19 22:14:08.964896489,63,Basic,10,0,PayPal,17,2,9.34,0,Referral,UK,0
CUST00110,2019-01-17 01:44:33.267326732,2019-08-22 01:44:33.267326732,63,Premium,30,1,Wallet,12,4,8.97,0,Partner,US,0
CUST00111,2019-01-17 05:14:57.569756975,2020-03-01 05:14:57.569756975,63,Basic,10,1,PayPal,19,1,9.57,0,Organic,Germany,1
CUST00112,2019-01-17 08:45:21.872187218,2020-06-22 08:45:21.872187218,63,Premium,10,0,Card,11,0,15.9,0,Paid,UK,0
CUST00113,2019-01-17 12:15:46.174617461,2019-03-28 12:15:46.174617461,63,Premium,30,0,Wallet,15,0,42.8,0,Organic,UK,1
CUST00114,2019-01-17 15:46:10.477047704,2019-07-22 15:46:10.477047704,63,Free,10,1,Card,9,0,27.23,0,Organic,Germany,0
CUST00115,2019-01-17 19:16:34.779477947,2019-03-02 19:16:34.779477947,63,Premium,10,1,Other,11,0,10.73,0,Partner,India,1
CUST00116,2019-01-17 22:46:59.081908190,2021-05-08 22:46:59.081908190,63,Basic,0,1,PayPal,12,2,38.93,0,Organic,Canada,0
CUST00117,2019-01-18 02:17:23.384338433,2019-04-22 02:17:23.384338433,63,Free,30,0,Card,13,0,28.02,1,Paid,US,0
CUST00118,2019-01-18 05:47:47.686768676,2021-06-22 05:47:47.686768676,63,Basic,0,0,Card,9,3,32.72,0,Paid,France,0
CUST00119,2019-01-18 09:18:11.989198919,2021-06-04 09:18:11.989198919,63,Free,30,1,Card,12,0,5.83,0,Referral,UK,0
CUST00120,2019-01-18 12:48:36.291629162,2020-07-21 12:48:36.291629162,63,Premium,10,1,Other,9,0,19.16,0,Referral,Germany,0
CUST00121,2019-01-18 16:19:00.594059405,2020-01-26 16:19:00.594059405,63,Premium,30,1,Other,8,1,59.6,0,Referral,India,1
CUST00122,2019-01-18 19:49:24.896489648,2019-06-25 19:49:24.896489648,63,Free,30,1,Other,15,1,38.84,0,Referral,India,0
CUST00123,2019-01-18 23:19:49.198919892,2020-11-25 23:19:49.198919892,63,Basic,0,1,Card,9,0,12.34,0,Referral,US,1
CUST00124,2019-01-19 02:50:13.501350135,2020-06-03 02:50:13.501350135,63,Premium,10,0,Other,11,1,49.86,0,Partner,India,0
CUST00125,2019-01-19 06:20:37.803780378,2019-04-21 06:20:37.803780378,63,Premium,30,1,PayPal,14,3,46.3,1,Paid,Canada,0
CUST00126,2019-01-19 09:51:02.106210621,2019-07-06 09:51:02.106210621,63,Basic,30,0,Other,10,0,36.5,1,Paid,France,0
CUST00127,2019-01-19 13:21:26.408640864,2020-06-30 13:21:26.408640864,63,Premium,10,1,Other,10,1,56.44,0,Referral,India,0
CUST00128,2019-01-19 16:51:50.711071107,2020-10-02 16:51:50.711071107,63,Basic,30,1,Card,7,0,11.38,0,Referral,France,1
CUST00129,2019-01-19 20:22:15.013501350,2020-03-15 20:22:15.013501350,63,Basic,30,0,Card,8,0,40.97,0,Organic,India,0
CUST00130,2019-01-19 23:52:39.315931593,2020-12-23 23:52:39.315931593,63,Premium,30,0,Card,10,1,47.23,1,Organic,US,0
CUST00131,2019-01-20 03:23:03.618361836,2020-04-12 03:23:03.618361836,63,Basic,30,0,Card,18,4,30.62,0,Partner,UK,0
CUST00132,2019-01-20 06:53:27.920792079,2019-12-04 06:53:27.920792079,63,Basic,10,0,PayPal,16,3,3.24,0,Paid,US,1
CUST00133,2019-01-20 10:23:52.223222322,2020-03-03 10:23:52.223222322,63,Basic,30,1,Card,16,0,38.89,0,Organic,US,0
CUST00134,2019-01-20 13:54:16.525652565,2021-04-01 13:54:16.525652565,63,Premium,10,1,Wallet,20,1,47.14,0,Referral,India,0
CUST00135,2019-01-20 17:24:40.828082808,2020-06-22 17:24:40.828082808,63,Premium,0,1,Wallet,18,4,11.2,1,Paid,US,0
CUST00136,2019-01-20 20:55:05.130513051,2019-10-07 20:55:05.130513051,63,Basic,10,1,Card,11,1,21.43,0,Referral,Canada,1
CUST00137,2019-01-21 00:25:29.432943294,2019-04-01 00:25:29.432943294,63,Basic,0,1,Card,14,2,41.21,0,Paid,France,0
CUST00138,2019-01-21 03:55:53.735373537,2019-03-19 03:55:53.735373537,63,Basic,0,1,PayPal,10,2,30.32,1,Referral,Canada,0
CUST00139,2019-01-21 07:26:18.037803780,2019-07-04 07:26:18.037803780,63,Basic,10,1,Wallet,14,1,42.84,0,Partner,India,0
CUST00140,2019-01-21 10:56:42.340234023,2019-09-08 10:56:42.340234023,63,Basic,0,1,Other,3,0,40.47,0,Referral,Canada,0
CUST00141,2019-01-21 14:27:06.642664266,2021-06-08 14:27:06.642664266,63,Premium,30,1,PayPal,13,3,40.52,1,Organic,France,0
CUST00142,2019-01-21 17:57:30.945094509,2021-04-09 17:57:30.945094509,63,Basic,0,1,Other,19,1,31.55,1,Referral,Canada,0
CUST00143,2019-01-21 21:27:55.247524752,2019-03-24 21:27:55.247524752,63,Basic,10,0,Card,10,1,47.13,0,Referral,Canada,1
CUST00144,2019-01-22 00:58:19.549954995,2019-04-09 00:58:19.549954995,63,Free,0,1,Wallet,16,1,60.84,0,Organic,France,0
CUST00145,2019-01-22 04:28:43.852385238,2020-07-07 04:28:43.852385238,63,Basic,0,1,Other,14,2,35.85,1,Referral,UK,0
CUST00146,2019-01-22 07:59:08.154815481,2020-04-02 07:59:08.154815481,63,Premium,10,1,Wallet,7,1,48.25,0,Organic,India,0
CUST00147,2019-01-22 11:29:32.457245724,2020-09-16 11:29:32.457245724,63,Basic,10,1,Other,11,1,47.19,0,Paid,Canada,0
CUST00148,2019-01-22 14:59:56.759675967,2021-02-17 14:59:56.759675967,63,Free,30,0,PayPal,14,1,10.31,0,Referral,Germany,0
CUST00149,2019-01-22 18:30:21.062106210,2021-05-05 18:30:21.062106210,63,Basic,30,1,Card,12,1,14.88,0,Partner,US,0
CUST00150,2019-01-22 22:00:45.364536453,2019-05-30 22:00:45.364536453,63,Basic,30,1,Wallet,14,1,40.79,0,Paid,Canada,1
CUST00151,2019-01-23 01:31:09.666966696,2021-01-05 01:31:09.666966696,63,Free,0,1,PayPal,13,2,27.67,1,Organic,Canada,0
CUST00152,2019-01-23 05:01:33.969396939,2021-02-16 05:01:33.969396939,63,Basic,10,1,Wallet,13,2,18.6,0,Partner,Canada,0
CUST00153,2019-01-23 08:31:58.271827182,2020-08-21 08:31:58.271827182,63,Basic,0,0,Other,15,1,31.36,0,Referral,India,0
CUST00154,2019-01-23 12:02:22.574257425,2021-03-01 12:02:22.574257425,63,Basic,30,1,Other,12,2,5.68,0,Paid,Canada,1
CUST00155,2019-01-23 15:32:46.876687668,2020-10-26 15:32:46.876687668,63,Basic,0,1,Card,17,1,46.86,0,Partner,US,1
CUST00156,2019-01-23 19:03:11.179117911,2020-05-28 19:03:11.179117911,63,Basic,10,1,Other,16,1,45.61,1,Organic,France,1
CUST00157,2019-01-23 22:33:35.481548154,2020-11-25 22:33:35.481548154,63,Premium,10,0,Card,11,2,50.71,1,Organic,Germany,0
CUST00158,2019-01-24 02:03:59.783978397,2021-04-01 02:03:59.783978397,63,Basic,10,0,Card,9,3,18.24,0,Partner,Canada,0
CUST00159,2019-01-24 05:34:24.086408640,2019-02-27 05:34:24.086408640,63,Basic,30,1,PayPal,17,0,16.44,0,Referral,US,0
CUST00160,2019-01-24 09:04:48.388838883,2019-09-28 09:04:48.388838883,63,Basic,30,1,Card,9,2,9.53,0,Paid,UK,0
CUST00161,2019-01-24 12:35:12.691269126,2020-07-09 12:35:12.691269126,63,Basic,30,0,PayPal,11,5,11.88,0,Partner,France,0
CUST00162,2019-01-24 16:05:36.993699369,2021-03-30 16:05:36.993699369,63,Premium,10,0,Wallet,9,0,19.85,0,Organic,UK,1
CUST00163,2019-01-24 19:36:01.296129612,2020-03-26 19:36:01.296129612,63,Basic,30,1,Other,10,1,31.82,0,Referral,France,0
CUST00164,2019-01-24 23:06:25.598559855,2021-04-27 23:06:25.598559855,63,Premium,30,1,Other,4,1,28.08,0,Paid,US,0
CUST00165,2019-01-25 02:36:49.900990098,2020-03-22 02:36:49.900990098,63,Free,30,0,Other,11,2,29.69,1,Partner,Germany,0
CUST00166,2019-01-25 06:07:14.203420342,2019-09-18 06:07:14.203420342,63,Basic,10,1,Card,9,0,38.23,0,Referral,Germany,0
CUST00167,2019-01-25 09:37:38.505850585,2019-03-10 09:37:38.505850585,63,Premium,10,1,PayPal,10,1,9.79,1,Partner,UK,0
CUST00168,2019-01-25 13:08:02.808280828,2021-06-30 13:08:02.808280828,63,Basic,30,1,PayPal,11,2,4.25,0,Organic,US,0
CUST00169,2019-01-25 16:38:27.110711071,2020-08-30 16:38:27.110711071,63,Basic,10,1,PayPal,10,1,56.29,0,Organic,US,0
CUST00170,2019-01-25 20:08:51.413141314,2020-05-29 20:08:51.413141314,63,Basic,30,1,Card,10,3,20.31,0,Partner,India,0
CUST00171,2019-01-25 23:39:15.715571557,2021-01-14 23:39:15.715571557,63,Premium,30,1,Other,8,0,37.77,0,Referral,UK,0
CUST00172,2019-01-26 03:09:40.018001800,2020-09-21 03:09:40.018001800,63,Free,10,1,Other,11,2,8.85,0,Paid,UK,0
CUST00173,2019-01-26 06:40:04.320432043,2021-07-07 06:40:04.320432043,63,Premium,10,1,PayPal,15,2,35.69,1,Referral,India,0
CUST00174,2019-01-26 10:10:28.622862286,2021-03-08 10:10:28.622862286,63,Free,10,1,Card,6,1,25.43,0,Organic,Germany,0
CUST00175,2019-01-26 13:40:52.925292529,2019-10-23 13:40:52.925292529,63,Premium,30,0,Other,15,2,45.54,0,Referral,Canada,0
CUST00176,2019-01-26 17:11:17.227722772,2020-09-10 17:11:17.227722772,63,Basic,30,1,Card,7,1,8.47,0,Paid,France,0
CUST00177,2019-01-26 20:41:41.530153015,2019-05-31 20:41:41.530153015,63,Premium,0,1,Wallet,16,1,41.86,1,Referral,France,1
CUST00178,2019-01-27 00:12:05.832583258,2021-02-28 00:12:05.832583258,63,Basic,10,1,Wallet,8,3,26.84,1,Paid,Canada,0
CUST00179,2019-01-27 03:42:30.135013501,2020-06-24 03:42:30.135013501,63,Premium,0,1,Card,11,1,39.46,1,Organic,France,0
CUST00180,2019-01-27 07:12:54.437443744,2020-04-07 07:12:54.437443744,63,Free,30,1,Wallet,11,1,15.98,1,Organic,France,1
CUST00181,2019-01-27 10:43:18.739873987,2019-10-14 10:43:18.739873987,63,Free,10,0,Other,6,2,66.03,0,Paid,Canada,0
CUST00182,2019-01-27 14:13:43.042304230,2021-03-15 14:13:43.042304230,63,Basic,10,0,PayPal,10,2,14.82,0,Organic,India,0
CUST00183,2019-01-27 17:44:07.344734473,2020-12-11 17:44:07.344734473,63,Free,30,0,Card,11,0,12.58,0,Organic,UK,1
CUST00184,2019-01-27 21:14:31.647164716,2019-08-15 21:14:31.647164716,63,Free,0,1,Wallet,13,0,24.67,1,Organic,Canada,0
CUST00185,2019-01-28 00:44:55.949594959,2020-08-20 00:44:55.949594959,63,Premium,0,1,PayPal,7,1,63.01,1,Referral,UK,1
CUST00186,2019-01-28 04:15:20.252025202,2019-04-03 04:15:20.252025202,63,Premium,10,1,Other,17,4,49.17,0,Partner,France,0
CUST00187,2019-01-28 07:45:44.554455445,2020-08-04 07:45:44.554455445,63,Basic,10,1,Other,9,2,16.61,1,Partner,Germany,1
CUST00188,2019-01-28 11:16:08.856885688,2019-08-05 11:16:08.856885688,63,Premium,10,1,Card,12,3,8.86,0,Paid,France,1
CUST00189,2019-01-28 14:46:33.159315931,2021-06-14 14:46:33.159315931,63,Basic,30,1,PayPal,9,0,13.54,0,Referral,Canada,0
