review_id,user_id,review_text,review_length,sentiment_score,platform,language,device_type,region,review_date,sentiment
REV00022,USER02048,Completely disappointed.,70,-0.53,AppStore,en,Tablet,US,2021-10-23,positive
REV00023,USER02748,"Amazing experience, will recommend.",253,-0.09,AppStore,es,Mobile,Brazil,2023-10-23,negative
REV00024,USER00976,Completely disappointed.,74,-0.82,Amazon,en,Mobile,Brazil,2020-04-26,neutral
REV00025,USER01807,Very satisfied with the quality.,259,0.73,Twitter,de,Mobile,India,2022-04-13,neutral
REV00026,USER00190,Completely disappointed.,55,-0.02,Twitter,de,Mobile,US,2021-11-06,negative
REV00027,USER02735,"Amazing experience, will recommend.",108,0.72,Web,es,Mobile,Germany,2021-08-01,neutral
REV00028,USER03006,"It was okay, nothing special.",231,1.47,Twitter,de,Mobile,India,2020-01-28,neutral
REV00029,USER04659,Terrible service. Never coming back.,264,-0.28,Twitter,en,Desktop,Germany,2020-08-23,positive
REV00030,USER01900,Completely disappointed.,106,0.77,Web,es,Desktop,US,2022-09-09,neutral
REV00031,USER01268,Terrible service. Never coming back.,259,1.54,Twitter,en,Mobile,UK,2021-04-01,positive
REV00032,USER01529,Good value for money.,207,-0.12,Twitter,es,Mobile,India,2022-09-05,positive
REV00033,USER03203,Worst purchase ever!,76,0.69,Web,en,Mobile,India,2021-02-10,positive
REV00034,USER03557,Worst purchase ever!,132,-0.47,AppStore,en,Mobile,Brazil,2020-07-19,negative
REV00035,USER03891,"Amazing experience, will recommend.",242,1.2,AppStore,de,Desktop,UK,2020-08-19,negative
REV00036,USER00647,Good value for money.,89,-0.5,Amazon,en,Mobile,India,2022-03-08,negative
REV00037,USER02889,Worst purchase ever!,246,0.7,Twitter,es,Mobile,Germany,2022-05-04,positive
REV00038,USER02436,"Amazing experience, will recommend.",275,1.0,Web,en,Mobile,US,2022-07-05,positive
REV00039,USER00601,Completely disappointed.,199,-1.18,Web,en,Tablet,UK,2022-05-29,positive
REV00040,USER02364,Good value for money.,203,-0.67,Twitter,en,Mobile,Brazil,2020-02-11,positive
REV00041,USER02062,Very satisfied with the quality.,210,-0.71,Twitter,en,Desktop,Brazil,2023-02-02,negative
REV00042,USER00242,Very satisfied with the quality.,251,1.08,Web,de,Mobile,Germany,2020-05-29,positive
REV00043,USER02042,Very satisfied with the quality.,295,-1.18,Web,de,Desktop,US,2022-01-29,positive
REV00044,USER02825,"It was okay, nothing special.",252,0.33,Web,es,Mobile,Brazil,2023-09-14,positive
REV00045,USER02613,Very satisfied with the quality.,73,0.73,Amazon,fr,Desktop,Brazil,2023-01-23,negative
REV00046,USER01364,Good value for money.,276,0.17,AppStore,en,Desktop,US,2020-02-19,positive
REV00047,USER01479,Great product! Really loved it.,109,1.27,Web,en,Mobile,UK,2022-05-27,positive
REV00048,USER02557,Worst purchase ever!,245,-1.92,AppStore,en,Mobile,India,2021-07-01,positive
REV00049,USER00776,Very satisfied with the quality.,266,0.61,Twitter,en,Mobile,India,2022-08-28,neutral
REV00050,USER04015,Good value for money.,170,-0.18,AppStore,en,Desktop,US,2022-03-07,neutral
REV00051,USER00035,Exceeded expectations!,132,-1.51,AppStore,en,Desktop,US,2021-09-01,negative
REV00052,USER03153,Completely disappointed.,288,-1.08,AppStore,en,Desktop,US,2023-04-13,negative
REV00053,USER01956,"It was okay, nothing special.",176,1.57,Twitter,en,Desktop,Germany,2021-09-24,positive
REV00054,USER01586,Terrible service. Never coming back.,178,0.63,AppStore,en,Mobile,Germany,2020-02-19,positive
REV00055,USER03944,"Amazing experience, will recommend.",244,0.8,AppStore,en,Mobile,US,2021-03-21,negative
REV00056,USER03074,Exceeded expectations!,33,0.96,Amazon,es,Mobile,Germany,2022-10-27,negative
REV00057,USER01022,Exceeded expectations!,128,-1.36,Twitter,en,Mobile,India,2022-07-28,positive
REV00058,USER03462,"It was okay, nothing special.",115,0.25,AppStore,en,Mobile,US,2022-11-26,positive
REV00059,USER02614,"Amazing experience, will recommend.",214,1.1,Twitter,es,Desktop,India,2023-06-23,positive
REV00060,USER03844,"It was okay, nothing special.",77,-0.4,Web,en,Desktop,India,2021-05-29,negative
REV00061,USER01501,Very satisfied with the quality.,173,1.36,AppStore,en,Desktop,Germany,2021-08-17,negative
REV00062,USER04799,Terrible service. Never coming back.,83,-0.61,Twitter,es,Mobile,Brazil,2022-02-09,neutral
REV00063,USER00162,"Amazing experience, will recommend.",177,0.12,AppStore,en,Mobile,Brazil,2020-12-05,negative
REV00064,USER04298,Good value for money.,284,0.4,AppStore,en,Mobile,UK,2023-09-20,positive
REV00065,USER01982,Worst purchase ever!,140,0.75,Web,en,Mobile,UK,2021-09-05,neutral
REV00066,USER00996,"It was okay, nothing special.",30,-0.29,Amazon,en,Mobile,Brazil,2023-05-11,positive
REV00067,USER04912,Terrible service. Never coming back.,233,1.01,Twitter,en,Mobile,US,2021-02-01,neutral
REV00068,USER03343,Completely disappointed.,181,0.43,AppStore,en,Mobile,Brazil,2020-01-04,positive
REV00069,USER04552,Great product! Really loved it.,124,-1.64,Web,fr,Desktop,Germany,2021-02-22,positive
REV00070,USER03799,Completely disappointed.,166,1.84,Web,en,Mobile,Brazil,2021-11-05,negative
REV00071,USER01276,Great product! Really loved it.,201,-0.96,Amazon,en,Mobile,US,2020-11-19,positive
REV00072,USER01017,"Not bad, could be better.",56,1.92,Amazon,en,Desktop,US,2023-01-06,neutral
REV00073,USER00338,Good value for money.,101,-0.16,Web,fr,Desktop,UK,2021-11-14,negative
REV00074,USER00879,"Not bad, could be better.",31,-0.34,Web,en,Mobile,UK,2022-11-09,positive
REV00075,USER01077,"It was okay, nothing special.",23,0.4,Twitter,en,Mobile,US,2023-07-01,positive
REV00076,USER04888,"It was okay, nothing special.",62,-0.7,Twitter,en,Desktop,India,2023-04-23,negative
REV00077,USER03994,Great product! Really loved it.,70,-1.89,Web,en,Mobile,UK,2020-02-24,positive
REV00078,USER04860,"Amazing experience, will recommend.",280,-0.11,Web,en,Desktop,Germany,2022-02-20,positive
REV00079,USER00380,Terrible service. Never coming back.,153,0.38,Amazon,en,Mobile,India,2021-07-22,negative
REV00080,USER00493,Very satisfied with the quality.,106,1.54,Twitter,en,Mobile,Germany,2020-12-05,positive
REV00081,USER02063,Exceeded expectations!,75,-1.19,Web,en,Mobile,Germany,2020-01-14,positive
REV00082,USER03885,"It was okay, nothing special.",236,0.58,Twitter,en,Mobile,US,2022-12-10,positive
REV00083,USER00065,"Not bad, could be better.",87,-0.1,Twitter,en,Desktop,India,2023-10-03,positive
REV00084,USER02569,"Not bad, could be better.",63,0.03,Web,en,Desktop,UK,2022-10-01,positive
REV00085,USER02028,Completely disappointed.,162,0.97,Web,en,Desktop,US,2020-02-27,positive
REV00086,USER02696,Good value for money.,61,-0.51,AppStore,fr,Mobile,Brazil,2023-11-01,positive
REV00087,USER01496,Great product! Really loved it.,158,0.17,Twitter,en,Tablet,UK,2023-02-16,positive
REV00088,USER00392,Exceeded expectations!,92,1.09,Twitter,de,Desktop,Brazil,2022-05-04,neutral
REV00089,USER04515,Great product! Really loved it.,286,1.03,Amazon,en,Mobile,US,2021-04-08,negative
REV00090,USER04475,"It was okay, nothing special.",213,-1.22,Amazon,en,Mobile,Germany,2021-07-13,positive
REV00091,USER03562,Worst purchase ever!,174,-0.61,Amazon,es,Mobile,Germany,2021-02-14,positive
REV00092,USER02279,Exceeded expectations!,265,-0.14,Twitter,en,Mobile,India,2021-12-12,neutral
REV00093,USER03100,Completely disappointed.,237,0.81,Web,en,Tablet,UK,2022-07-12,positive
REV00094,USER00201,"Not bad, could be better.",272,-0.25,Web,en,Mobile,Brazil,2022-09-04,neutral
REV00095,USER04876,Completely disappointed.,296,0.08,Web,en,Mobile,Brazil,2021-11-04,negative
REV00096,USER03105,"It was okay, nothing special.",296,1.25,Twitter,es,Mobile,India,2021-05-28,positive
REV00097,USER04599,Worst purchase ever!,91,-0.34,Web,en,Mobile,UK,2022-10-11,neutral
REV00098,USER02455,Very satisfied with the quality.,148,1.47,Amazon,de,Mobile,Germany,2022-11-13,negative
REV00099,USER03646,Exceeded expectations!,205,-1.61,Web,de,Mobile,US,2020-03-14,negative
REV00100,USER00805,Great product! Really loved it.,32,-0.39,Web,en,Mobile,India,2023-08-21,positive
REV00101,USER02732,Exceeded expectations!,239,-1.37,Amazon,en,Mobile,US,2022-03-18,positive
REV00102,USER02774,"Not bad, could be better.",25,0.12,AppStore,en,Mobile,US,2020-09-07,positive
REV00103,USER01571,Great product! Really loved it.,258,0.75,AppStore,en,Tablet,India,2022-10-28,positive
REV00104,USER02691,Very satisfied with the quality.,131,-0.16,AppStore,en,Mobile,Brazil,2023-09-10,positive
REV00105,USER03841,Very satisfied with the quality.,247,-0.47,Twitter,en,Mobile,UK,2020-03-07,positive
REV00106,USER01029,Good value for money.,36,-1.36,Twitter,en,Tablet,Brazil,2023-06-02,neutral
REV00107,USER00503,Great product! Really loved it.,92,1.68,Amazon,en,Mobile,Germany,2021-02-17,positive
REV00108,USER04494,Terrible service. Never coming back.,31,-0.02,AppStore,en,Mobile,UK,2021-07-17,negative
REV00109,USER00871,Worst purchase ever!,105,-0.45,Twitter,en,Mobile,India,2022-03-17,neutral
REV00110,USER04489,Terrible service. Never coming back.,199,1.56,Web,en,Desktop,India,2021-05-07,positive
REV00111,USER00207,Very satisfied with the quality.,141,-0.35,AppStore,fr,Mobile,India,2022-10-19,positive
REV00112,USER01485,Great product! Really loved it.,223,-0.91,AppStore,es,Mobile,US,2023-01-13,negative
REV00113,USER00864,Good value for money.,89,-0.71,Twitter,en,Mobile,India,2023-06-07,negative
REV00114,USER02791,Exceeded expectations!,127,-0.86,AppStore,de,Mobile,Germany,2021-08-23,positive
REV00115,USER00564,Exceeded expectations!,220,-1.07,Amazon,en,Desktop,Germany,2023-10-30,positive
REV00116,USER04192,Exceeded expectations!,71,-0.69,Amazon,fr,Mobile,India,2021-10-03,positive
REV00117,USER01758,Good value for money.,56,2.41,Twitter,en,Mobile,UK,2022-08-19,negative
REV00118,USER01679,"It was okay, nothing special.",136,-1.15,AppStore,en,Mobile,Germany,2020-09-27,positive
REV00119,USER03243,Great product! Really loved it.,278,-1.49,Amazon,en,Tablet,UK,2022-08-12,negative
REV00120,USER04637,Terrible service. Never coming back.,283,0.28,AppStore,en,Desktop,UK,2023-07-21,positive
REV00121,USER01060,Worst purchase ever!,83,-0.08,Amazon,fr,Mobile,UK,2022-12-28,negative
REV00122,USER01723,Very satisfied with the quality.,61,0.66,Amazon,en,Tablet,India,2023-10-01,negative
REV00123,USER03315,Worst purchase ever!,62,-0.55,AppStore,en,Mobile,US,2020-03-18,negative
REV00124,USER03158,Very satisfied with the quality.,144,-0.87,Twitter,en,Tablet,India,2020-05-12,positive
REV00125,USER02626,Great product! Really loved it.,289,1.67,Twitter,en,Mobile,Germany,2023-12-18,neutral
REV00126,USER02730,Great product! Really loved it.,252,-1.61,Twitter,en,Tablet,Germany,2023-11-29,negative
REV00127,USER01598,Completely disappointed.,151,0.36,AppStore,de,Mobile,Germany,2021-12-04,neutral
REV00128,USER03061,Terrible service. Never coming back.,21,0.69,AppStore,en,Desktop,Germany,2023-10-18,negative
REV00129,USER02694,"Not bad, could be better.",134,0.82,AppStore,en,Desktop,US,2022-02-14,positive
REV00130,USER04892,Very satisfied with the quality.,20,-0.3,Twitter,de,Desktop,UK,2020-07-14,negative
REV00131,USER03628,"Amazing experience, will recommend.",84,-1.25,AppStore,en,Desktop,India,2021-11-22,positive
REV00132,USER01364,"Not bad, could be better.",144,1.5,Twitter,en,Mobile,Germany,2022-01-08,positive
REV00133,USER01982,Exceeded expectations!,275,-0.45,Amazon,en,Mobile,UK,2022-08-10,positive
REV00134,USER01664,Worst purchase ever!,162,1.53,Twitter,en,Mobile,India,2023-07-30,neutral
REV00135,USER01530,Great product! Really loved it.,265,0.37,Twitter,en,Desktop,US,2023-04-10,neutral
REV00136,USER02039,"Amazing experience, will recommend.",135,-0.48,Web,en,Desktop,Brazil,2021-09-10,neutral
REV00137,USER03303,Very satisfied with the quality.,109,0.39,Web,en,Mobile,US,2023-10-15,neutral
REV00138,USER02238,"It was okay, nothing special.",61,1.15,Twitter,es,Mobile,Brazil,2022-02-04,neutral
REV00139,USER01307,Very satisfied with the quality.,54,0.08,Web,en,Mobile,Germany,2020-02-12,negative
REV00140,USER04030,Worst purchase ever!,60,-0.74,AppStore,fr,Desktop,UK,2022-10-08,positive
REV00141,USER02676,Very satisfied with the quality.,143,-1.79,Web,en,Desktop,UK,2021-09-29,negative
REV00142,USER01283,Very satisfied with the quality.,76,-0.42,Web,en,Mobile,India,2023-08-07,positive
REV00143,USER00710,Good value for money.,254,0.81,Web,en,Tablet,Brazil,2023-11-19,positive
REV00144,USER04745,Terrible service. Never coming back.,115,-1.01,Twitter,en,Tablet,Brazil,2022-09-24,negative
REV00145,USER04414,"Not bad, could be better.",151,0.68,Amazon,en,Mobile,India,2023-06-07,positive
REV00146,USER03749,"It was okay, nothing special.",195,0.03,Amazon,en,Mobile,UK,2020-11-05,positive
REV00147,USER04780,Great product! Really loved it.,71,0.75,Amazon,es,Mobile,UK,2023-08-22,negative
REV00148,USER00664,Very satisfied with the quality.,57,-2.34,Amazon,en,Mobile,India,2023-04-27,positive
REV00149,USER01999,"It was okay, nothing special.",24,-1.42,Amazon,en,Desktop,Brazil,2023-11-13,positive
REV00150,USER03446,Completely disappointed.,232,-0.46,Amazon,en,Mobile,Germany,2022-01-10,positive
REV00151,USER03744,Very satisfied with the quality.,139,1.87,Twitter,es,Mobile,India,2023-02-12,negative
REV00152,USER01496,Good value for money.,228,-0.75,AppStore,en,Mobile,UK,2020-12-22,positive
REV00153,USER03305,Good value for money.,236,-0.13,AppStore,en,Mobile,Germany,2020-06-02,negative
REV00154,USER03764,"Amazing experience, will recommend.",43,2.15,Amazon,es,Desktop,Germany,2020-12-18,neutral
REV00155,USER01854,Exceeded expectations!,224,0.43,Web,es,Mobile,Brazil,2021-11-03,neutral
REV00156,USER04660,Worst purchase ever!,245,0.86,Web,en,Desktop,India,2023-03-20,neutral
REV00157,USER01292,"Not bad, could be better.",237,-0.64,Twitter,en,Mobile,Germany,2022-08-11,neutral
REV00158,USER03582,Completely disappointed.,230,1.18,Amazon,en,Mobile,US,2023-05-07,positive
REV00159,USER03458,Worst purchase ever!,45,1.33,Amazon,de,Desktop,Germany,2022-09-18,negative
REV00160,USER01637,Worst purchase ever!,271,0.5,Web,en,Mobile,Germany,2022-06-23,positive
REV00161,USER03697,"Amazing experience, will recommend.",22,-0.09,Amazon,en,Mobile,Germany,2023-07-19,positive
REV00162,USER03000,Good value for money.,21,0.56,Amazon,en,Tablet,India,2022-01-16,negative
REV00163,USER03153,Terrible service. Never coming back.,111,-1.63,Web,en,Mobile,Brazil,2021-06-23,positive
REV00164,USER00699,"It was okay, nothing special.",21,1.09,AppStore,en,Mobile,Brazil,2021-02-10,positive
REV00165,USER02161,Great product! Really loved it.,169,-0.85,AppStore,en,Mobile,US,2021-07-07,negative
REV00166,USER04098,Terrible service. Never coming back.,90,-0.28,Twitter,en,Desktop,US,2022-10-29,positive
REV00167,USER04738,Terrible service. Never coming back.,23,1.32,Web,de,Mobile,Germany,2020-02-27,positive
REV00168,USER00855,Exceeded expectations!,57,1.1,Twitter,es,Mobile,Germany,2023-10-20,neutral
REV00169,USER03475,Exceeded expectations!,89,-1.62,Amazon,de,Desktop,Germany,2020-11-27,positive
REV00170,USER01708,Terrible service. Never coming back.,220,-0.95,Web,fr,Mobile,US,2023-05-09,negative
REV00171,USER02778,Good value for money.,271,0.64,AppStore,en,Tablet,Brazil,2023-09-18,positive
REV00172,USER01734,Worst purchase ever!,173,-1.74,Amazon,en,Mobile,US,2022-05-21,neutral
REV00173,USER04932,"It was okay, nothing special.",152,1.42,AppStore,en,Mobile,Brazil,2021-09-11,positive
REV00174,USER03511,Worst purchase ever!,93,0.12,AppStore,en,Mobile,US,2020-10-07,positive
REV00175,USER00203,Worst purchase ever!,293,1.41,Twitter,en,Mobile,Brazil,2020-05-20,positive
REV00176,USER03256,Worst purchase ever!,290,-0.74,Web,en,Mobile,US,2023-04-25,neutral
REV00177,USER04219,"It was okay, nothing special.",204,-0.66,Web,de,Mobile,Brazil,2021-10-28,positive
REV00178,USER04497,"It was okay, nothing special.",24,1.03,Web,en,Mobile,India,2022-07-24,negative
REV00179,USER00767,"Amazing experience, will recommend.",105,-0.3,Twitter,en,Mobile,India,2023-01-11,positive
REV00180,USER04390,"Not bad, could be better.",233,-1.24,AppStore,en,Tablet,UK,2023-09-27,neutral
REV00181,USER02328,Terrible service. Never coming back.,34,0.56,Twitter,fr,Mobile,Brazil,2020-06-28,positive
REV00182,USER02932,Very satisfied with the quality.,292,-1.59,Web,de,Mobile,Brazil,2020-06-27,positive
REV00183,USER00198,"Amazing experience, will recommend.",70,1.44,Amazon,en,Desktop,Brazil,2021-05-28,negative
REV00184,USER01931,"Amazing experience, will recommend.",272,0.18,Web,en,Desktop,UK,2020-05-19,negative
REV00185,USER03583,Great product! Really loved it.,64,-0.89,Web,en,Desktop,US,2022-01-06,negative
REV00186,USER00609,Very satisfied with the quality.,210,1.15,AppStore,de,Desktop,India,2023-03-25,positive
REV00187,USER03273,Exceeded expectations!,141,1.16,Web,en,Tablet,UK,2022-09-12,negative
REV00188,USER01148,Great product! Really loved it.,206,0.0,Web,es,Desktop,India,2022-07-09,positive
REV00189,USER04283,Exceeded expectations!,233,2.28,AppStore,en,Desktop,Germany,2023-05-28,neutral
REV00190,USER03398,"Not bad, could be better.",168,2.25,Web,en,Mobile,UK,2020-08-10,positive
REV00191,USER02512,Completely disappointed.,189,0.32,Web,en,Desktop,UK,2022-09-30,positive
REV00192,USER01795,Exceeded expectations!,228,1.07,AppStore,fr,Mobile,India,2023-03-28,neutral
REV00193,USER00660,Worst purchase ever!,101,1.31,Amazon,de,Mobile,Brazil,2022-07-11,positive
REV00194,USER02812,Exceeded expectations!,215,-1.13,AppStore,fr,Mobile,Germany,2023-10-19,neutral
REV00195,USER01370,Very satisfied with the quality.,265,0.29,Web,en,Mobile,India,2021-03-18,negative
REV00196,USER01987,"It was okay, nothing special.",59,-0.68,Twitter,en,Mobile,UK,2020-02-04,negative
REV00197,USER00147,Very satisfied with the quality.,187,-0.82,Amazon,fr,Mobile,Brazil,2020-12-18,positive
REV00198,USER03220,"Not bad, could be better.",62,0.12,AppStore,en,Mobile,Germany,2022-10-21,negative
REV00199,USER02912,"Amazing experience, will recommend.",230,0.2,Amazon,de,Mobile,Brazil,2020-01-09,positive
REV00200,USER01735,Worst purchase ever!,198,-1.61,Amazon,en,Tablet,India,2021-07-09,negative
REV00201,USER01844,Completely disappointed.,42,0.34,Twitter,de,Mobile,Brazil,2022-01-10,positive
REV00202,USER00489,"Not bad, could be better.",114,-0.25,Twitter,es,Mobile,UK,2023-04-13,positive
REV00203,USER02977,"Amazing experience, will recommend.",179,1.4,Twitter,en,Mobile,UK,2022-09-01,positive
REV00204,USER01960,Good value for money.,263,1.16,Web,en,Desktop,US,2021-12-19,neutral
REV00205,USER02386,Very satisfied with the quality.,36,-0.86,AppStore,en,Tablet,Germany,2023-02-10,negative
REV00206,USER02920,"Not bad, could be better.",131,1.31,Web,en,Desktop,India,2021-05-03,negative
REV00207,USER04737,Very satisfied with the quality.,122,0.54,AppStore,en,Mobile,Brazil,2021-08-19,positive
REV00208,USER01803,Completely disappointed.,105,-0.22,Web,en,Mobile,UK,2022-12-05,positive
REV00209,USER04062,"Amazing experience, will recommend.",54,-0.51,Web,en,Tablet,US,2022-02-24,positive
REV00210,USER03370,Very satisfied with the quality.,49,-1.15,Twitter,en,Mobile,India,2020-09-07,positive
REV00211,USER00263,"It was okay, nothing special.",211,-1.22,Web,de,Mobile,UK,2022-09-27,neutral
REV00212,USER00624,Exceeded expectations!,198,-1.83,Twitter,en,Mobile,India,2021-11-29,positive
REV00213,USER01017,Great product! Really loved it.,123,0.02,AppStore,fr,Tablet,UK,2020-11-30,positive
REV00214,USER03644,Completely disappointed.,184,-2.06,Twitter,en,Mobile,India,2023-12-31,neutral
REV00215,USER04977,Great product! Really loved it.,141,-0.87,Amazon,fr,Tablet,UK,2021-03-19,neutral
REV00216,USER02050,Terrible service. Never coming back.,153,0.66,Amazon,en,Mobile,Brazil,2020-04-20,negative
REV00217,USER03724,Exceeded expectations!,243,1.49,Web,en,Desktop,Germany,2022-02-15,positive
REV00218,USER04549,Completely disappointed.,44,-1.15,Amazon,en,Mobile,UK,2022-03-06,positive
REV00219,USER03109,"Not bad, could be better.",32,0.61,AppStore,de,Mobile,India,2021-07-31,positive
REV00220,USER04091,"It was okay, nothing special.",249,-0.31,Web,en,Desktop,UK,2023-09-16,negative
REV00221,USER02057,"Not bad, could be better.",121,-0.52,Twitter,en,Mobile,US,2022-05-13,positive
REV00222,USER03171,Good value for money.,222,0.15,Web,fr,Desktop,Brazil,2020-10-04,positive
REV00223,USER01683,Terrible service. Never coming back.,286,-0.65,Web,en,Tablet,US,2021-06-30,positive
REV00224,USER02256,"It was okay, nothing special.",241,-0.08,Amazon,en,Mobile,India,2023-02-03,negative
REV00225,USER01155,Very satisfied with the quality.,123,0.07,Web,en,Mobile,UK,2021-02-28,positive
REV00226,USER04500,Very satisfied with the quality.,130,1.16,AppStore,en,Desktop,UK,2021-12-20,positive
REV00227,USER03192,Worst purchase ever!,88,1.38,Web,en,Desktop,US,2021-11-01,negative
REV00228,USER01697,Very satisfied with the quality.,277,-0.6,Twitter,en,Desktop,Germany,2023-08-31,positive
REV00229,USER03992,"Amazing experience, will recommend.",187,-0.27,Twitter,en,Mobile,Brazil,2021-10-11,positive
REV00230,USER04724,Terrible service. Never coming back.,68,0.8,Amazon,en,Desktop,UK,2022-11-25,positive
REV00231,USER04683,"Amazing experience, will recommend.",269,-0.18,Web,en,Mobile,UK,2023-05-21,negative
REV00232,USER01649,Exceeded expectations!,94,0.71,Twitter,es,Mobile,India,2023-09-13,neutral
REV00233,USER01446,Worst purchase ever!,220,0.9,Web,de,Mobile,US,2020-02-16,neutral
REV00234,USER04200,Worst purchase ever!,53,1.02,Web,en,Desktop,India,2022-08-11,negative
REV00235,USER03924,Very satisfied with the quality.,130,0.09,Twitter,fr,Mobile,Brazil,2023-06-09,neutral
REV00236,USER00254,"It was okay, nothing special.",256,-1.16,Web,de,Mobile,UK,2023-12-08,positive
REV00237,USER03184,Exceeded expectations!,51,-0.17,Amazon,en,Mobile,US,2021-02-10,negative
REV00238,USER02558,Good value for money.,228,-0.51,Amazon,de,Mobile,US,2020-05-03,negative
REV00239,USER00099,Terrible service. Never coming back.,151,0.78,Twitter,en,Desktop,US,2021-12-30,positive
REV00240,USER02201,Terrible service. Never coming back.,125,1.53,AppStore,fr,Mobile,Brazil,2021-02-03,positive
REV00241,USER02962,Completely disappointed.,52,1.55,AppStore,en,Mobile,Germany,2023-04-02,neutral
REV00242,USER04974,"Not bad, could be better.",62,0.89,Web,en,Desktop,Germany,2023-07-31,negative
REV00243,USER04434,Very satisfied with the quality.,126,-0.93,Amazon,es,Desktop,Germany,2020-06-18,positive
REV00244,USER03778,Completely disappointed.,284,1.4,Twitter,en,Desktop,India,2022-09-12,negative
REV00245,USER02870,Good value for money.,245,0.43,Amazon,en,Tablet,India,2020-04-04,negative
REV00246,USER03235,Worst purchase ever!,198,-0.82,AppStore,en,Mobile,Brazil,2021-10-18,neutral
REV00247,USER03792,Great product! Really loved it.,241,0.86,AppStore,es,Mobile,US,2023-08-20,negative
REV00248,USER00957,Good value for money.,144,-0.22,Web,es,Desktop,Germany,2023-01-24,negative
REV00249,USER04068,Good value for money.,295,-1.95,Twitter,en,Mobile,UK,2021-11-30,neutral
REV00250,USER00161,"It was okay, nothing special.",186,-0.98,Web,en,Desktop,Germany,2021-02-26,negative
REV00251,USER04494,"It was okay, nothing special.",170,-0.07,Amazon,en,Desktop,Brazil,2022-10-12,neutral
REV00252,USER01301,"It was okay, nothing special.",60,-0.1,Amazon,en,Desktop,Germany,2023-08-23,positive
REV00253,USER04912,"It was okay, nothing special.",54,-1.06,AppStore,fr,Desktop,UK,2020-05-12,negative
REV00254,USER03988,"Not bad, could be better.",250,0.75,Web,fr,Mobile,UK,2020-12-27,negative
REV00255,USER01528,Very satisfied with the quality.,234,0.52,Amazon,en,Desktop,UK,2021-09-22,negative
REV00256,USER01219,Terrible service. Never coming back.,120,-1.44,Amazon,de,Desktop,Brazil,2020-03-04,positive
REV00257,USER04497,Very satisfied with the quality.,76,2.63,Amazon,fr,Desktop,Germany,2023-12-14,neutral
REV00258,USER04736,Very satisfied with the quality.,234,-1.21,Twitter,en,Mobile,Brazil,2022-07-23,positive
REV00259,USER03105,Terrible service. Never coming back.,175,-0.46,AppStore,en,Mobile,UK,2021-01-04,positive
REV00260,USER02736,"It was okay, nothing special.",83,0.38,Web,en,Mobile,Germany,2023-07-14,negative
REV00261,USER04556,Very satisfied with the quality.,81,-0.45,Amazon,en,Desktop,India,2023-06-02,negative
REV00262,USER00955,"Not bad, could be better.",81,1.45,Twitter,es,Mobile,Brazil,2021-07-19,positive
REV00263,USER04566,"It was okay, nothing special.",113,-0.18,Amazon,en,Mobile,India,2021-05-30,neutral
REV00264,USER03447,"Not bad, could be better.",45,-0.92,Amazon,fr,Mobile,India,2022-03-26,positive
