employee_id,age,gender,marital_status,department,job_role,education_level,monthly_income,total_working_years,years_at_company,years_in_current_role,num_companies_worked,overtime,job_satisfaction,work_life_balance,distance_from_home,training_times_last_year,performance_rating,attrition
EMP00049,27,Male,Single,Sales,Analyst,3,4697.42,27,12,1,0,1,2,3,4.7,1,3,0
EMP00050,25,Male,Divorced,Engineering,Sales Rep,4,5674.41,1,6,5,3,1,2,3,8.4,2,3,0
EMP00051,50,Female,Married,Engineering,Developer,2,6128.32,1,11,11,3,1,4,3,15.9,2,2,0
EMP00052,39,Female,Married,Engineering,Manager,1,5842.83,14,13,13,2,0,3,3,14.9,3,4,0
EMP00053,47,Male,Married,Engineering,Analyst,3,5867.58,28,19,14,2,1,1,4,0.4,3,4,0
EMP00054,55,Female,Single,HR,Sales Rep,2,4584.25,1,8,5,1,0,2,2,10.5,3,3,0
EMP00055,31,Female,Divorced,R&D,Sales Rep,3,1673.43,8,10,0,1,1,3,3,0.2,4,3,0
EMP00056,57,Female,Single,R&D,Analyst,3,6145.01,26,10,10,2,0,2,1,8.4,3,3,0
EMP00057,35,Male,Divorced,Support,Developer,2,3803.56,29,19,9,3,0,3,4,1.9,1,3,0
EMP00058,52,Male,Single,HR,Developer,4,8233.46,4,19,14,2,0,3,4,19.7,1,3,0
EMP00059,36,Female,Married,Sales,Manager,1,5516.51,2,1,8,5,1,2,3,4.8,1,4,0
EMP00060,29,Female,Single,Engineering,Executive,2,7067.12,30,14,6,3,0,3,3,18.4,3,3,0
EMP00061,35,Female,Single,Support,Manager,4,3345.94,20,17,11,3,0,3,3,24.6,5,4,0
EMP00062,44,Female,Single,Sales,Manager,3,6693.8,30,11,7,0,1,2,4,5.1,0,4,0
EMP00063,42,Male,Married,R&D,Manager,3,6073.39,18,6,10,0,1,2,3,9.0,1,4,1
EMP00064,37,Female,Single,Sales,Analyst,2,5565.85,30,11,9,4,0,1,3,26.8,2,3,1
EMP00065,39,Male,Single,Engineering,Sales Rep,4,3423.44,1,2,1,1,0,4,3,2.8,0,3,0
EMP00066,45,Male,Married,Engineering,Sales Rep,3,3943.54,3,9,5,1,0,2,3,0.9,1,3,0
EMP00067,47,Female,Divorced,R&D,Executive,5,5982.37,23,8,13,0,0,3,3,7.3,2,3,0
EMP00068,46,Male,Single,Engineering,Developer,4,3944.01,22,14,8,6,0,3,2,8.0,0,3,0
EMP00069,50,Male,Married,HR,Manager,2,3755.94,15,6,0,4,0,3,3,5.7,3,4,0
EMP00070,36,Female,Single,Support,Analyst,4,4241.76,16,3,10,2,0,3,3,34.7,3,3,1
EMP00071,22,Male,Married,R&D,Analyst,3,5753.74,27,13,4,0,0,4,3,5.5,5,3,1
EMP00072,46,Female,Divorced,R&D,Manager,3,7132.12,32,17,7,1,0,3,4,8.1,1,3,0
EMP00073,28,Other,Divorced,Sales,Analyst,2,5621.06,34,11,13,0,1,4,3,0.6,1,3,0
EMP00074,30,Female,Single,R&D,Analyst,2,6829.45,12,10,3,3,1,4,3,0.4,4,3,0
EMP00075,45,Male,Married,Support,Manager,4,4788.62,18,2,0,1,0,3,4,8.7,4,3,0
EMP00076,22,Male,Divorced,HR,Executive,4,8058.0,18,4,6,1,1,3,3,24.9,3,3,1
EMP00077,29,Male,Divorced,Sales,Analyst,3,6996.43,4,2,0,0,1,4,3,17.3,4,4,0
EMP00078,45,Male,Married,Support,Sales Rep,1,6341.71,34,5,6,4,0,1,4,8.3,0,3,0
EMP00079,32,Male,Single,R&D,Sales Rep,5,5685.57,19,0,14,1,1,3,3,7.0,2,4,0
EMP00080,38,Female,Divorced,Engineering,Sales Rep,3,5595.0,31,4,9,0,0,3,1,14.5,0,4,0
EMP00081,29,Male,Divorced,Engineering,Manager,3,2764.05,31,13,10,0,1,2,1,0.0,4,3,0
EMP00082,56,Female,Divorced,Support,Sales Rep,3,2693.1,20,8,6,4,0,3,2,5.1,4,3,0
EMP00083,56,Male,Single,HR,Developer,4,5980.46,20,9,13,0,1,2,3,1.0,0,4,0
EMP00084,54,Female,Divorced,Engineering,Analyst,3,5108.97,32,19,6,1,1,3,3,6.7,1,3,0
EMP00085,26,Female,Married,Support,Executive,2,5843.08,20,10,4,1,0,4,3,14.9,3,3,0
EMP00086,49,Male,Single,Sales,Sales Rep,3,3305.24,16,9,12,6,0,3,2,6.6,0,4,0
EMP00087,28,Male,Divorced,R&D,Manager,4,7284.7,19,2,3,2,0,4,3,3.6,1,3,0
EMP00088,30,Female,Married,HR,Executive,3,4697.12,31,15,3,2,0,2,3,6.3,0,4,0
EMP00089,29,Female,Married,HR,Manager,4,5570.25,13,13,0,1,0,2,4,4.4,3,3,0
EMP00090,33,Female,Single,Sales,Executive,3,4245.29,20,12,14,2,0,3,3,1.8,4,3,0
EMP00091,55,Male,Married,HR,Executive,4,5489.82,12,12,10,1,1,3,1,14.1,2,4,0
EMP00092,54,Male,Single,Support,Analyst,4,8574.53,26,2,1,1,1,3,3,2.2,5,3,0
EMP00093,44,Female,Single,HR,Executive,4,6736.34,10,16,11,0,0,2,3,17.8,1,3,0
EMP00094,45,Female,Single,HR,Developer,4,4146.58,12,8,6,1,0,4,3,10.4,3,2,0
EMP00095,58,Male,Married,HR,Developer,2,3490.74,24,5,7,0,0,2,3,16.9,3,3,0
EMP00096,56,Female,Single,Support,Developer,4,5532.21,9,19,14,0,1,2,3,1.5,5,3,0
EMP00097,43,Male,Single,R&D,Manager,3,4504.38,5,13,7,1,0,3,3,4.9,4,3,0
EMP00098,48,Male,Married,Engineering,Analyst,3,3984.06,31,19,12,1,1,3,4,1.4,1,3,0
EMP00099,56,Male,Single,HR,Manager,2,7981.26,34,16,8,1,0,3,2,0.0,2,3,0
EMP00100,22,Male,Divorced,Sales,Sales Rep,4,2032.62,11,13,6,6,0,1,2,14.1,2,4,1
EMP00101,56,Female,Married,Sales,Developer,3,6065.12,9,2,13,2,0,1,4,38.1,5,3,0
EMP00102,58,Male,Married,Support,Analyst,2,7914.28,22,1,0,4,1,3,3,10.3,5,3,1
EMP00103,35,Male,Married,R&D,Developer,5,3260.28,28,4,7,1,1,1,3,1.2,1,3,0
EMP00104,24,Female,Divorced,HR,Analyst,2,4374.59,16,4,6,1,0,3,2,24.7,5,3,0
EMP00105,22,Female,Single,Support,Manager,3,4506.85,10,8,1,3,1,2,3,10.7,5,3,0
EMP00106,26,Female,Married,Engineering,Manager,4,7414.4,34,16,5,3,0,2,3,19.3,3,3,1
EMP00107,47,Female,Married,R&D,Developer,5,4955.91,15,10,2,1,0,2,2,11.0,4,2,0
EMP00108,35,Male,Married,R&D,Executive,2,8072.8,18,5,4,5,0,3,3,6.8,0,3,0
EMP00109,48,Female,Divorced,Support,Analyst,4,6277.73,31,2,5,1,0,3,3,0.8,5,3,0
EMP00110,30,Female,Divorced,Sales,Sales Rep,3,4471.62,5,14,5,1,0,2,3,0.8,3,4,1
EMP00111,36,Female,Divorced,R&D,Executive,3,3307.48,33,17,13,0,0,1,3,36.3,1,3,0
EMP00112,36,Male,Single,Sales,Manager,5,3483.64,29,3,7,1,1,3,3,1.2,4,2,0
EMP00113,47,Male,Single,R&D,Analyst,4,5993.98,3,18,7,3,0,3,4,12.6,1,3,1
EMP00114,34,Female,Divorced,R&D,Executive,4,8854.1,23,13,8,2,1,3,1,3.1,5,3,1
EMP00115,53,Male,Single,R&D,Sales Rep,4,4289.92,10,7,14,2,1,1,3,35.4,0,3,0
EMP00116,53,Female,Divorced,Engineering,Executive,4,4036.96,32,18,13,0,1,2,2,7.1,2,3,0
EMP00117,25,Female,Single,Sales,Sales Rep,3,5982.31,27,13,0,3,1,2,3,3.7,2,3,0
EMP00118,51,Female,Single,Engineering,Manager,3,4705.44,24,2,3,2,1,2,3,3.7,1,3,1
EMP00119,58,Female,Divorced,Sales,Analyst,4,4303.45,20,12,12,1,1,4,3,5.7,4,3,0
EMP00120,44,Female,Married,Engineering,Manager,4,7328.83,3,3,9,1,1,2,3,0.1,5,3,1
EMP00121,36,Male,Married,Engineering,Analyst,3,7292.98,5,0,0,2,1,3,3,4.3,4,3,0
EMP00122,50,Female,Single,Engineering,Executive,3,5429.3,3,16,5,6,1,4,3,2.1,2,2,0
EMP00123,57,Female,Single,Support,Manager,4,4022.39,6,6,12,1,0,1,3,41.8,5,3,0
EMP00124,34,Male,Single,Engineering,Analyst,5,5582.13,15,8,2,2,0,3,3,4.0,3,4,0
EMP00125,53,Male,Single,R&D,Sales Rep,4,6537.11,6,17,4,0,1,3,4,1.9,4,4,0
EMP00126,28,Male,Single,HR,Analyst,2,7020.44,23,1,10,2,0,4,3,36.6,3,4,0
EMP00127,43,Female,Single,Engineering,Manager,3,6686.89,30,11,10,3,1,3,3,1.1,4,3,0
EMP00128,49,Male,Divorced,HR,Manager,4,1116.82,21,0,9,4,1,4,3,12.0,3,3,0
EMP00129,23,Female,Married,HR,Executive,2,5737.79,22,10,8,2,0,3,3,1.1,1,4,0
EMP00130,27,Male,Married,R&D,Sales Rep,5,6156.12,2,15,2,6,0,1,3,0.1,0,4,0
EMP00131,49,Male,Divorced,HR,Analyst,2,6387.97,14,14,1,1,1,3,1,15.0,2,3,0
EMP00132,49,Female,Divorced,HR,Manager,4,5537.76,18,15,7,1,1,1,3,0.4,4,3,1
EMP00133,41,Male,Married,HR,Analyst,5,5064.92,15,13,12,4,1,4,3,5.4,1,3,0
EMP00134,51,Female,Married,Sales,Developer,4,4560.2,2,0,6,1,0,1,3,12.9,1,3,0
EMP00135,32,Female,Single,Engineering,Sales Rep,4,3809.59,20,6,0,2,1,3,2,11.5,4,3,0
EMP00136,49,Female,Married,Engineering,Sales Rep,5,4050.86,10,7,8,1,0,2,3,0.3,2,3,0
EMP00137,46,Male,Single,HR,Developer,4,7071.92,5,15,9,2,1,3,3,0.3,5,3,0
EMP00138,54,Female,Single,R&D,Sales Rep,5,6072.01,32,0,9,1,0,2,3,4.5,5,2,1
EMP00139,22,Female,Married,Sales,Developer,4,6239.0,2,18,3,2,0,3,1,20.7,1,3,0
EMP00140,48,Female,Single,R&D,Analyst,4,4148.12,5,4,5,1,1,3,3,23.2,1,3,1
EMP00141,34,Male,Single,R&D,Developer,4,5801.82,21,14,12,6,0,1,4,6.7,0,4,0
EMP00142,24,Female,Divorced,HR,Executive,2,7761.17,18,2,11,2,1,2,1,1.8,0,3,0
EMP00143,27,Female,Married,Support,Developer,4,5208.15,4,0,6,2,0,3,2,13.6,3,3,0
EMP00144,29,Female,Divorced,HR,Analyst,5,6187.39,32,6,7,1,0,3,3,3.9,1,3,0
EMP00145,48,Male,Single,Support,Sales Rep,4,4241.87,4,8,3,2,0,2,3,37.1,4,4,1
EMP00146,30,Male,Single,Sales,Executive,1,4416.54,17,0,8,7,0,2,2,15.1,2,3,0
EMP00147,58,Male,Divorced,Support,Developer,2,5428.72,33,1,11,1,0,3,2,1.0,2,4,0
EMP00148,54,Male,Divorced,HR,Analyst,3,3957.22,22,16,12,1,1,3,2,15.5,5,2,0
EMP00149,45,Male,Divorced,HR,Executive,3,3879.85,18,16,9,4,0,2,1,18.5,2,4,0
EMP00150,36,Male,Single,R&D,Executive,3,4746.7,27,2,0,1,0,4,4,5.0,4,3,0
EMP00151,53,Female,Married,HR,Executive,5,5306.02,15,16,14,0,0,2,3,1.4,1,3,1
EMP00152,53,Male,Single,HR,Developer,5,4081.32,25,9,13,5,0,3,3,7.4,2,3,0
EMP00153,45,Female,Divorced,Engineering,Analyst,3,5257.8,10,1,7,2,1,4,3,14.1,1,3,0
EMP00154,33,Male,Married,Engineering,Analyst,4,3317.19,16,6,8,1,0,4,3,60.3,2,3,1
EMP00155,23,Male,Divorced,R&D,Analyst,4,5246.29,4,2,14,2,1,4,4,23.7,5,3,0
EMP00156,24,Male,Single,Support,Manager,3,2159.15,31,11,3,1,1,3,3,24.8,0,3,0
EMP00157,58,Male,Married,Support,Sales Rep,5,6622.28,32,6,4,4,0,2,4,13.8,0,3,0
EMP00158,38,Female,Married,Engineering,Analyst,3,2669.69,24,9,1,3,1,4,2,15.0,2,2,1
EMP00159,23,Female,Single,Sales,Manager,4,7333.1,18,3,4,1,1,4,3,4.5,0,3,0
EMP00160,23,Male,Divorced,Engineering,Manager,4,5642.67,32,0,10,5,0,1,3,1.4,3,3,0
EMP00161,49,Male,Divorced,Sales,Executive,4,5886.05,28,13,12,2,0,4,3,63.9,5,3,0
EMP00162,44,Male,Divorced,Support,Sales Rep,4,4343.66,11,3,2,2,0,4,2,0.2,4,3,0
EMP00163,58,Female,Single,Engineering,Executive,3,5813.98,8,11,8,1,1,3,3,7.4,0,4,0
EMP00164,53,Female,Divorced,HR,Sales Rep,4,5281.92,1,0,14,1,0,3,3,10.7,0,4,0
EMP00165,54,Female,Married,Sales,Executive,3,3273.2,2,13,12,0,0,4,3,7.0,0,3,1
EMP00166,22,Female,Divorced,Sales,Developer,5,6155.34,21,3,4,0,0,2,4,7.1,4,3,0
EMP00167,40,Female,Divorced,Sales,Sales Rep,4,3750.19,19,6,4,1,0,3,3,6.4,4,3,0
EMP00168,23,Male,Married,Support,Manager,3,8509.92,30,8,6,1,0,2,3,8.9,4,4,0
EMP00169,47,Male,Married,R&D,Manager,4,3824.89,25,13,11,2,0,2,3,6.3,2,3,0
EMP00170,53,Female,Divorced,HR,Sales Rep,3,2573.42,9,17,8,0,0,4,3,8.4,4,3,0
EMP00171,27,Female,Married,Engineering,Executive,4,7540.36,28,4,4,3,0,2,3,0.8,2,3,0
EMP00172,53,Female,Single,Sales,Developer,4,6168.71,32,19,9,0,1,4,2,5.0,4,3,0
EMP00173,25,Female,Married,Support,Developer,4,5682.45,11,16,8,2,0,3,4,30.4,0,3,0
EMP00174,32,Male,Single,Sales,Analyst,4,4170.81,21,5,12,1,1,3,3,7.8,3,3,0
EMP00175,38,Female,Married,Engineering,Sales Rep,3,5096.71,24,4,6,0,0,2,3,33.6,2,3,0
EMP00176,59,Female,Single,HR,Developer,2,4763.72,1,9,5,3,0,2,3,4.4,5,3,0
EMP00177,45,Male,Single,Sales,Executive,4,6339.26,16,16,9,0,0,3,2,0.7,4,4,0
EMP00178,26,Female,Divorced,Support,Executive,4,4110.87,24,18,5,1,0,2,3,0.2,1,3,1
EMP00179,55,Female,Married,Support,Manager,2,4246.51,10,3,3,4,0,3,3,23.4,1,3,0
EMP00180,27,Male,Married,R&D,Developer,4,6083.11,32,13,9,2,1,2,3,3.5,1,1,0
EMP00181,43,Male,Married,Support,Developer,4,6993.15,28,19,14,2,0,4,4,3.0,4,3,0
EMP00182,32,Male,Single,R&D,Executive,2,4418.82,33,13,8,0,1,2,2,23.0,1,4,0
EMP00183,37,Female,Divorced,HR,Manager,3,5968.88,22,3,8,6,1,3,3,1.8,1,3,0
EMP00184,54,Male,Married,Engineering,Developer,2,6559.25,1,2,2,2,0,3,1,5.8,3,3,0
EMP00185,30,Female,Divorced,R&D,Executive,3,3622.49,12,1,10,2,1,2,3,29.8,2,2,0
EMP00186,27,Female,Divorced,Sales,Manager,4,4583.14,25,17,10,2,1,4,4,10.1,2,4,0
EMP00187,37,Male,Single,Sales,Manager,2,2427.98,28,16,3,2,1,3,3,33.1,5,4,0
EMP00188,50,Female,Married,Engineering,Executive,3,8090.92,17,15,0,2,1,3,3,2.8,4,4,0
EMP00189,24,Other,Divorced,Support,Manager,4,5367.99,16,13,11,4,0,1,3,3.4,3,3,0
EMP00190,41,Male,Married,Sales,Manager,5,6366.88,32,15,8,2,0,2,3,11.3,5,3,0
EMP00191,57,Male,Married,R&D,Analyst,4,4406.4,4,15,14,1,0,2,4,49.9,2,3,1
EMP00192,40,Female,Married,Engineering,Manager,2,4256.58,11,5,5,2,1,2,3,11.3,2,3,0
EMP00193,47,Female,Divorced,Sales,Developer,5,4841.68,20,5,10,0,0,3,3,12.9,1,3,1
EMP00194,24,Male,Single,Support,Manager,3,4736.16,26,5,2,3,0,2,4,2.0,4,3,1
EMP00195,40,Male,Single,Support,Developer,3,8549.33,7,13,1,4,0,3,4,17.0,1,4,0
EMP00196,41,Male,Divorced,Sales,Executive,2,5595.87,31,0,7,1,0,2,2,12.6,3,3,0
EMP00197,53,Other,Married,Engineering,Manager,5,6015.67,7,19,5,3,0,2,3,6.3,2,3,1
EMP00198,28,Male,Married,HR,Executive,3,5032.12,4,0,13,1,0,1,2,8.4,2,3,0
EMP00199,54,Female,Single,Sales,Sales Rep,5,5119.83,8,17,13,0,0,3,1,9.8,5,3,0
EMP00200,39,Female,Divorced,Support,Manager,2,6020.32,14,7,2,0,0,2,2,0.8,3,3,0
EMP00201,22,Male,Divorced,HR,Executive,3,4947.39,22,7,2,1,0,2,3,34.7,0,3,0
EMP00202,32,Female,Single,Engineering,Sales Rep,2,7102.97,23,16,12,1,1,2,4,9.4,1,2,0
EMP00203,49,Male,Divorced,Support,Developer,3,3764.1,25,0,7,1,0,2,3,8.1,3,3,0
EMP00204,46,Female,Divorced,Engineering,Developer,4,6824.29,26,13,0,4,0,3,2,7.8,3,3,0
EMP00205,44,Male,Single,Sales,Developer,2,6753.11,24,10,2,1,0,1,2,38.5,1,3,0
EMP00206,52,Female,Single,Engineering,Developer,3,8125.45,18,11,12,2,1,3,3,24.0,1,3,0
EMP00207,51,Female,Divorced,Support,Developer,4,2382.66,21,12,4,2,0,2,4,2.9,1,3,0
EMP00208,56,Male,Divorced,Sales,Analyst,2,6619.35,5,12,4,0,0,3,3,0.4,0,4,0
EMP00209,28,Male,Single,Support,Executive,3,4004.3,15,2,13,1,0,2,3,14.4,3,3,0
EMP00210,37,Male,Single,Support,Sales Rep,3,6343.02,31,2,13,2,0,1,4,2.6,3,3,1
EMP00211,47,Male,Married,HR,Sales Rep,4,6332.32,26,13,7,1,1,2,2,1.5,0,2,0
EMP00212,23,Female,Divorced,R&D,Manager,1,3717.05,4,7,5,0,0,3,2,70.9,2,2,0
EMP00213,22,Female,Divorced,Engineering,Executive,4,6070.84,4,12,2,3,1,3,3,5.2,4,4,0
EMP00214,33,Male,Single,Engineering,Analyst,4,4493.53,19,0,3,1,0,3,3,13.6,0,3,0
EMP00215,26,Female,Single,HR,Analyst,3,3963.01,26,11,3,4,1,3,2,3.8,3,3,0
EMP00216,58,Female,Married,Engineering,Executive,2,2179.47,33,4,5,5,0,3,3,0.3,2,3,0
EMP00217,53,Female,Married,HR,Developer,5,7116.01,4,8,8,2,1,4,4,2.6,2,3,0
EMP00218,30,Male,Single,Engineering,Developer,3,4863.05,24,1,7,2,0,2,4,0.8,2,3,0
EMP00219,56,Male,Divorced,Engineering,Executive,3,3424.33,31,13,11,1,0,1,2,1.3,5,2,1
EMP00220,40,Male,Married,Support,Sales Rep,1,5475.39,34,3,10,2,0,1,3,16.0,4,3,0
EMP00221,37,Female,Single,HR,Developer,2,5159.3,34,8,6,4,0,2,2,26.1,4,3,1
EMP00222,24,Male,Single,Engineering,Manager,3,3619.42,2,16,8,3,0,2,3,33.1,3,3,0
EMP00223,41,Male,Single,R&D,Analyst,3,3648.19,8,11,8,4,1,2,3,5.1,2,3,0
EMP00224,45,Male,Divorced,HR,Developer,4,6661.44,21,6,5,0,0,3,2,3.4,2,2,0
EMP00225,54,Female,Single,HR,Sales Rep,4,5317.33,12,7,8,2,0,3,4,15.8,5,3,1
EMP00226,45,Male,Single,HR,Developer,3,4029.39,1,0,7,1,1,2,3,6.3,1,3,1
EMP00227,32,Male,Divorced,Support,Developer,2,4428.34,16,15,9,2,0,3,3,17.2,0,4,0
EMP00228,29,Male,Single,HR,Analyst,4,4452.08,6,7,2,4,1,4,3,18.6,0,3,0
EMP00229,57,Male,Single,Support,Manager,3,2484.08,33,12,5,2,0,3,3,32.9,2,4,0
EMP00230,59,Female,Married,R&D,Manager,5,6412.81,13,18,10,3,0,2,3,4.1,3,4,1
EMP00231,41,Male,Single,Sales,Sales Rep,4,4452.24,9,12,3,3,0,3,2,3.2,4,3,0
EMP00232,56,Male,Divorced,Support,Executive,3,4768.73,28,9,11,1,1,3,2,7.8,3,3,0
EMP00233,46,Female,Married,Engineering,Executive,3,5842.77,34,11,2,5,0,2,3,6.7,2,3,0
EMP00234,56,Male,Single,HR,Executive,3,6866.95,32,6,9,4,0,3,2,30.0,1,3,0
EMP00235,46,Male,Divorced,Sales,Sales Rep,3,5302.26,1,12,14,1,0,2,3,4.0,5,2,0
EMP00236,50,Female,Single,Support,Developer,4,3364.46,25,7,4,2,0,2,3,12.9,5,3,0
EMP00237,39,Male,Married,Engineering,Manager,4,4626.73,10,5,7,3,1,2,1,4.5,1,3,0
EMP00238,39,Male,Divorced,Sales,Manager,3,4897.08,2,8,6,3,0,2,3,0.2,2,4,0
EMP00239,23,Male,Married,R&D,Developer,4,2253.95,4,19,9,1,0,1,3,0.7,2,4,0
EMP00240,56,Male,Divorced,Support,Manager,2,5714.09,25,12,6,3,1,3,3,1.6,5,3,0
EMP00241,37,Female,Divorced,Support,Manager,2,5986.69,16,18,9,1,0,4,4,5.2,3,4,0
EMP00242,57,Female,Single,R&D,Executive,3,5138.97,5,8,11,1,0,4,3,11.6,4,3,0
EMP00243,54,Female,Divorced,Support,Executive,4,3746.26,23,19,1,1,0,3,4,4.7,3,3,0
EMP00244,25,Male,Divorced,HR,Analyst,4,5318.32,20,17,11,2,0,1,3,16.8,4,3,0
EMP00245,54,Male,Single,Support,Analyst,3,6537.09,3,17,11,3,1,3,3,28.4,0,3,0
EMP00246,35,Female,Divorced,HR,Manager,4,4674.34,1,19,13,1,0,3,2,26.1,0,3,0
EMP00247,42,Female,Divorced,Support,Executive,2,6195.43,25,10,6,0,0,4,3,0.3,0,3,0
EMP00248,41,Male,Divorced,Engineering,Analyst,3,5648.44,16,7,0,0,0,4,3,0.2,1,4,0
EMP00249,29,Male,Divorced,Engineering,Analyst,4,2160.0,5,1,14,1,0,3,3,14.4,1,4,1
EMP00250,28,Male,Single,Sales,Executive,2,4226.43,6,16,5,3,0,4,1,9.8,2,3,0
EMP00251,24,Male,Single,Engineering,Analyst,3,5784.16,12,9,9,2,0,2,4,3.7,5,3,0
EMP00252,38,Male,Married,R&D,Developer,2,5199.65,23,14,6,3,0,3,1,24.6,0,3,0
EMP00253,54,Male,Divorced,Sales,Developer,3,6410.17,5,0,9,3,0,4,3,0.5,4,3,0
