Type,Algorithm,Best Use Case,Key Fundamentals to Know,Libraries,Real-World Example,Hyperparameters to Tune,Speed (Training/Prediction),Deployment Strategy,Complexity (Low/Med/High),Evaluation Metric(s),Higher or Lower,What It Evaluates,Evaluation Metrics
Supervised - Regression,Support Vector Regression (SVR),Non-linear regression,"Kernel methods, Margin tolerance",sklearn,Electric load forecasting,"C, epsilon, kernel",Slow / Medium,"ONNX, FastAPI",High,"MSE, R2","MSE (Lower-is-Better), R2 (Higher-is-Better)",Fits within a margin of tolerance,"MSE(Lower-is-Better) - Avg error
R2 (Higher-is-Better) -  Explained variance"
Supervised - Regression,Decision Tree Regressor,Non-linear regression with splits,Tree-based splitting,sklearn,Rental price prediction,"max_depth, min_samples_split",Medium / Fast,"Flask, Pickle",Medium,"MSE, MAE","MSE (Lower-is-Better), MAE (Lower-is-Better)",Captures non-linear patterns,"MSE(Lower-is-Better) - Avg squared error
MAE(Lower-is-Better) - Avg absolute error"
Supervised - Regression,Random Forest Regressor,Robust ensemble regressor,"Bagging, Feature randomness",sklearn.ensemble,Energy consumption prediction,"n_estimators, max_depth",Medium / Fast,"Docker, MLflow",Medium,"MSE, R2","MSE (Lower-is-Better), R2 (Higher-is-Better)","Reduces overfitting, improves accuracy","MSE(Lower-is-Better) - Avg error
R2 (Higher-is-Better) -  Explained variance"
Supervised - Regression,Gradient Boosting Regressor,Boosted tree regressor,Sequential learning,"xgboost, lightgbm, catboost",Customer spend prediction,"n_estimators, learning_rate",Slow / Fast,"MLflow, FastAPI",High,"MSE, R2","MSE (Lower-is-Better), R2 (Higher-is-Better)",Accurate modeling via residual correction,"MSE(Lower-is-Better) - Avg error
R2 (Higher-is-Better) -  Explained variance"
Supervised - Regression,Bayesian Regression,Probabilistic linear modeling,Prior/posterior estimation,"pymc3, sklearn",Uncertainty in predictions,"alpha_1, lambda_1",Medium / Medium,Custom,Medium,"Log-Likelihood, R2","Log-Likelihood (Higher-is-Better), R2 (Higher-is-Better)",Captures parameter uncertainty,"Log-Likelihood (Higher-is-Better) -  Probabilistic accuracy
R2 (Higher-is-Better) -  Explained variance"
Supervised - Regression,KNN Regressor,Local averaging regression,Distance metrics,sklearn,Geospatial interpolation,"n_neighbors, weights",Slow / Medium,Pickle,Medium,"MSE, MAE","MSE (Lower-is-Better), MAE (Lower-is-Better)",Predicts based on nearest neighbors,"MSE(Lower-is-Better) - Avg squared error
MAE(Lower-is-Better) - Avg absolute error"
Supervised - Regression,Quantile Regression,Predicting quantiles,Linear modeling for quantiles,"statsmodels, sklearn",Risk modeling,quantile,Medium / Fast,Custom,Medium,Pinball Loss,Pinball Loss (Lower-is-Better),Asymmetric loss function for quantiles,Pinball Loss(Lower-is-Better) - Distance from predicted quantile
Supervised - Regression,Huber Regression,Robust to outliers,Hybrid L1/L2 loss,sklearn,Sensor data prediction,epsilon,Fast / Fast,"Flask, FastAPI",Medium,Huber Loss,Huber Loss (Lower-is-Better),Balances squared and absolute loss,Huber Loss(Lower-is-Better) - Mixed loss to handle outliers
Unsupervised - Clustering,K-Means,Partitioning data into clusters,"Centroid-based clustering, scaling required",sklearn.cluster,Customer segmentation,"n_clusters, init",Fast / Fast,"Pickle, Flask",Medium,"Silhouette Score, Inertia","Silhouette (Higher-is-Better), Inertia (Lower-is-Better)",Cluster cohesion and separation,"Silhouette (Higher-is-Better) -  Compactness
Inertia(Lower-is-Better) - Internal distance"
Unsupervised - Clustering,DBSCAN,Detecting dense regions,Density-based clustering,sklearn.cluster,Geospatial clustering,"eps, min_samples",Medium / Fast,Rarely deployed standalone,Medium,Cluster Purity,Cluster Purity (Higher-is-Better),Accuracy of clusters vs true labels,Cluster Purity (Higher-is-Better) -  Label consistency
Unsupervised - Clustering,Hierarchical Clustering,Hierarchical relationships,Agglomerative clustering,scipy.cluster,Gene expression data,"linkage, distance_threshold",Slow / Slow,Rarely deployed,Medium,Dendrogram,Qualitative,Hierarchy of cluster merging,Dendrogram – Visual representation of clustering
Unsupervised - Clustering,Mean Shift,Mode-seeking clustering,Bandwidth sensitive,sklearn.cluster,Image segmentation,bandwidth,Slow / Slow,Rarely deployed,High,Silhouette Score,Silhouette (Higher-is-Better),Cluster compactness and separation,Silhouette (Higher-is-Better) -  Cluster structure quality
Unsupervised - Clustering,Gaussian Mixture Model (GMM),Soft probabilistic clustering,"Expectation-Maximization, Gaussian assumption",sklearn.mixture,Customer profiling,"n_components, covariance_type",Medium / Medium,Pickle,Medium,Log-Likelihood,Log-Likelihood (Higher-is-Better),Data likelihood under mixture model,Log-Likelihood (Higher-is-Better) -  Model fit to data
Unsupervised - Clustering,Affinity Propagation,Graph-based exemplar clustering,Message passing between points,sklearn.cluster,Recommendation engines,"preference, damping",Slow / Medium,Rarely deployed,High,Silhouette Score,Silhouette (Higher-is-Better),Intra-cluster density,Silhouette (Higher-is-Better) -  Cluster separation
Unsupervised - Clustering,OPTICS,Density-based clustering with ordering,Similar to DBSCAN but sorted,sklearn.cluster,Fraud detection,"min_samples, xi",Medium / Medium,Rarely deployed,Medium,Reachability Plot,Qualitative,Cluster density visualization,Reachability – Visual cluster analysis
Unsupervised - Dimensionality Reduction,PCA,Reducing correlated dimensions,Eigen decomposition,sklearn.decomposition,Image compression,n_components,Fast / Fast,Used in pipelines,Medium,Explained Variance,Explained Variance (Higher-is-Better),Amount of variance retained,Explained Variance (Higher-is-Better) -  Data representation quality
Unsupervised - Dimensionality Reduction,t-SNE,2D/3D visualization of high-dim data,Probabilistic neighborhood embedding,sklearn.manifold,NLP embedding visualization,"perplexity, learning_rate",Slow / Medium,Visualization only,High,Visual Clustering,Qualitative,Preserves local structure,t-SNE – Closeness in high-dim mapped visually
Unsupervised - Dimensionality Reduction,LDA (Dim Reduction),Supervised projection,Class separation,sklearn.discriminant_analysis,Face recognition,n_components,Fast / Fast,Used in classifiers,Medium,Explained Variance,Explained Variance (Higher-is-Better),Class separation in projected space,Explained Variance (Higher-is-Better) -  Projection efficiency
Unsupervised - Dimensionality Reduction,Autoencoders,Non-linear compression,Neural network encoder-decoder,"keras, pytorch",Feature compression,"encoding_dim, activation",Slow / Fast,TensorFlow Serving,High,Reconstruction Error,Reconstruction Error (Lower-is-Better),Reconstruction-based compression quality,Reconstruction Error(Lower-is-Better) - Loss from encoding
Unsupervised - Dimensionality Reduction,UMAP,Preserving local/global structure,Topological data analysis,umap-learn,Biological data analysis,"n_neighbors, min_dist",Medium / Medium,Visualization use,Medium,Visual Separation,Qualitative,Topology-preserving map,UMAP – Cluster shape & structure
Unsupervised - Dimensionality Reduction,ICA,Statistical independence separation,Non-Gaussian assumption,sklearn.decomposition,EEG signal analysis,n_components,Fast / Fast,Used in pipelines,Medium,Kurtosis,Kurtosis (Higher-is-Better),Statistical independence of components,Kurtosis (Higher-is-Better) -  Component separation
Unsupervised - Dimensionality Reduction,Factor Analysis,Latent factor modeling,Common variance extraction,sklearn.decomposition,Psychometric modeling,n_components,Fast / Fast,Custom,Medium,Explained Variance,Explained Variance (Higher-is-Better),Latent structure representation,Explained Variance (Higher-is-Better) -  Factor importance
Unsupervised - Dimensionality Reduction,Isomap,Preserving geodesic distances,Manifold learning,sklearn.manifold,Handwritten digit reduction,"n_neighbors, n_components",Medium / Medium,Visualization use,Medium,Geodesic Distance,Qualitative,Manifold structure preservation,Isomap – Geodesic manifold structure
Unsupervised - Anomaly Detection,Isolation Forest,Outlier isolation,Random subspace partitioning,sklearn.ensemble,Fraud detection,"n_estimators, contamination",Fast / Fast,Flask,Medium,Anomaly Score,Anomaly Score (Higher-is-Better),Outlier probability,Anomaly Score (Higher-is-Better) -  Isolation depth
Unsupervised - Anomaly Detection,One-Class SVM,Boundary-based anomaly detection,Support vector hypersphere,sklearn.svm,Network intrusion detection,"nu, kernel",Slow / Medium,Rarely deployed,High,Anomaly Score,Anomaly Score (Higher-is-Better),Distance from boundary,Anomaly Score (Higher-is-Better) -  Deviation severity
Unsupervised - Anomaly Detection,Elliptic Envelope,Robust Gaussian anomaly detection,Elliptic covariance estimation,sklearn.covariance,Financial anomaly detection,"contamination, support_fraction",Fast / Fast,Rarely deployed,Medium,Mahalanobis Distance,Distance (Lower-is-Better),Outlier scoring by Gaussian envelope,Distance(Lower-is-Better) - Proximity to Gaussian center
Unsupervised - Anomaly Detection,Autoencoder-Based Anomaly Detection,Reconstruction error outliers,Undercomplete encoder-decoder,"keras, pytorch",IoT sensor fault detection,"encoding_dim, epochs",Slow / Fast,TensorFlow Serving,High,Reconstruction Error,Reconstruction Error (Higher-is-Better),Deviation from reconstruction,Reconstruction Error (Higher-is-Better) -  Error = Anomaly
Unsupervised - Anomaly Detection,Local Outlier Factor (LOF),Density-based anomaly detection,Local reachability density,sklearn.neighbors,Credit card fraud,n_neighbors,Medium / Fast,Rarely deployed,Medium,LOF Score,LOF Score (Higher-is-Better),Relative local density deviation,LOF Score (Higher-is-Better) -  Local rarity indicator
Deep Learning - Neural Network,Feedforward Neural Network (FNN),"Tabular data, regression/classification","Fully connected layers, backpropagation","tensorflow, keras, pytorch",Sales forecasting,"hidden_layers, activation, optimizer",Slow / Fast,"TensorFlow Serving, ONNX",High,"Accuracy, Cross-Entropy, MSE","Accuracy (Higher-is-Better), Cross-Entropy (Lower-is-Better), MSE (Lower-is-Better)",General classification or regression tasks,"Accuracy (Higher-is-Better) -  Prediction accuracy
Cross-Entropy(Lower-is-Better) - Class confidence loss
MSE(Lower-is-Better) - Avg error"
Deep Learning - Neural Network,Convolutional Neural Network (CNN),"Image data, spatial hierarchies","Convolutions, pooling, padding","tensorflow, pytorch, torchvision",Medical image classification,"filters, kernel_size, strides",Slow / Fast,TensorFlow Serving,High,"Accuracy, IOU","Accuracy (Higher-is-Better), IOU (Higher-is-Better)",Image-level prediction and object overlap,"Accuracy (Higher-is-Better) -  Classification score
IOU (Higher-is-Better) -  Bounding box overlap"
Deep Learning - Neural Network,Recurrent Neural Network (RNN),"Sequential data, time series","Temporal memory, vanishing gradients","tensorflow, keras, pytorch",Weather prediction,"hidden_size, sequence_length",Slow / Medium,TensorFlow Serving,High,"Accuracy, F1","Accuracy (Higher-is-Better), F1 (Higher-is-Better)",Sequence prediction quality,"Accuracy (Higher-is-Better) -  Match to sequence output
F1 (Higher-is-Better) -  Precision-recall balance"
Deep Learning - Neural Network,Long Short-Term Memory (LSTM),Long-sequence memory modeling,"Cell state, forget gates","tensorflow, keras, pytorch",Speech recognition,"units, dropout",Slow / Medium,TensorFlow Serving,High,"Accuracy, F1","Accuracy (Higher-is-Better), F1 (Higher-is-Better)",Improved sequence retention,"Accuracy (Higher-is-Better) -  Long-term prediction accuracy
F1 (Higher-is-Better) -  Sequential balance"
Deep Learning - Neural Network,Gated Recurrent Unit (GRU),Efficient sequence learning,Gates for reset/update,"tensorflow, keras, pytorch",Text generation,"units, dropout",Slow / Medium,TensorFlow Serving,High,"Accuracy, F1","Accuracy (Higher-is-Better), F1 (Higher-is-Better)",Simplified LSTM performance,"Accuracy (Higher-is-Better) -  Seq model accuracy
F1 (Higher-is-Better) -  Balance measure"
Deep Learning - Neural Network,Encoder-Decoder Architecture,Seq2Seq problems,Encoding-decoding bottleneck,"tensorflow, pytorch",Machine translation,"encoder_units, decoder_units",Slow / Medium,TensorFlow Serving,High,"BLEU Score, Accuracy","BLEU (Higher-is-Better), Accuracy (Higher-is-Better)",Translation or sequence generation,"BLEU (Higher-is-Better) -  Translation quality
Accuracy (Higher-is-Better) -  Prediction match"
Deep Learning - Neural Network,Transformer,Long-range sequence modeling,"Attention, positional encoding","transformers, huggingface",Language modeling,"num_heads, layers, d_model",Very Slow / Fast,"ONNX, Hugging Face Hub",Very High,"Accuracy, Perplexity","Accuracy (Higher-is-Better), Perplexity (Lower-is-Better)",Contextual understanding,"Accuracy (Higher-is-Better) -  Task accuracy
Perplexity(Lower-is-Better) - Uncertainty"
Deep Learning - Neural Network,ResNet,Deep convolutional learning,"Skip connections, residuals","tensorflow, pytorch",Image classification,"depth, block_type",Slow / Fast,TensorFlow Serving,High,"Accuracy, Top-1 Error","Accuracy (Higher-is-Better), Top-1 Error (Lower-is-Better)",Deeper networks without vanishing gradients,"Accuracy (Higher-is-Better) -  Correct label
Top-1 Error(Lower-is-Better) - Misclass rate"
Deep Learning - Neural Network,UNet,Semantic segmentation,Contracting-expanding paths,"tensorflow, pytorch",Medical image segmentation,"filters, depth",Slow / Fast,"ONNX, TorchServe",High,"Dice Coefficient, IOU","Dice (Higher-is-Better), IOU (Higher-is-Better)",Pixel-wise prediction,"Dice (Higher-is-Better) -  Overlap with mask
IOU (Higher-is-Better) -  Intersection-over-union"
Deep Learning - Neural Network,"Autoencoders (Basic, Denoising, Variational)",Compression and reconstruction,Encoder-decoder bottleneck,"keras, pytorch","Dimensionality reduction, anomaly detection","encoding_dim, latent_dim",Slow / Fast,TensorFlow Serving,High,Reconstruction Error,Reconstruction Error (Lower-is-Better),Loss between input and reconstructed output,Reconstruction Error(Lower-is-Better) - Loss due to compression
Generative AI - Text & Language,GPT (Generative Pretrained Transformer),"Text generation, completion","Autoregressive transformer, pretraining","openai, transformers","Chatbots, writing assistants","num_layers, max_length, temperature",Slow / Fast,"Hugging Face, OpenAI API",Very High,"Perplexity, BLEU, Accuracy","Perplexity (Lower-is-Better), BLEU (Higher-is-Better), Accuracy (Higher-is-Better)",Language understanding and generation quality,"Perplexity(Lower-is-Better) - Token uncertainty
BLEU (Higher-is-Better) -  Translation accuracy
Accuracy (Higher-is-Better) -  Correct language predictions"
Generative AI - Text & Language,"BERT, RoBERTa, ALBERT",Contextual understanding,"Bidirectional transformer, masked LM","transformers, huggingface","Q&A, Sentiment Analysis","hidden_size, attention_heads",Slow / Fast,Hugging Face,High,"Accuracy, F1","Accuracy (Higher-is-Better), F1 (Higher-is-Better)",Contextualized predictions and classification,"Accuracy (Higher-is-Better) -  Token/task prediction
F1 (Higher-is-Better) -  Precision/recall balance"
Generative AI - Text & Language,T5 (Text-to-Text Transfer Transformer),Multi-task NLP,Encoder-decoder transformer,"transformers, huggingface","Summarization, Translation","num_layers, d_model",Slow / Fast,Hugging Face,Very High,"BLEU, ROUGE, Accuracy","BLEU (Higher-is-Better), ROUGE (Higher-is-Better), Accuracy (Higher-is-Better)",Task-to-text conversion quality,"BLEU (Higher-is-Better) -  Translation quality
ROUGE (Higher-is-Better) -  Summary quality
Accuracy (Higher-is-Better) -  Task fit"
Generative AI - Text & Language,BART,Denoising autoencoder for sequence-to-sequence,"Encoder-decoder, noising","transformers, huggingface","Summarization, Translation","num_layers, dropout",Slow / Fast,Hugging Face,Very High,"BLEU, ROUGE","BLEU (Higher-is-Better), ROUGE (Higher-is-Better)",Sequence generation quality,"BLEU (Higher-is-Better) -  Fluent output
ROUGE (Higher-is-Better) -  Summary overlap"
Generative AI - Text & Language,"LLaMA, Falcon, Claude",Large-scale pretraining,"Transformer architecture, instruction tuning","transformers, huggingface","Chat interfaces, Content generation","num_layers, context_length",Very Slow / Fast,"Hugging Face, APIs",Very High,"Accuracy, Perplexity","Accuracy (Higher-is-Better), Perplexity (Lower-is-Better)",Instruction-following and generation,"Accuracy (Higher-is-Better) -  Output alignment
Perplexity(Lower-is-Better) - Confidence of generation"
Generative AI - Vision,"DALL·E, MidJourney, Stable Diffusion",Text-to-image generation,"Diffusion models, latent spaces","diffusers, stability-ai, replicate","AI Art, Image Synthesis","guidance_scale, steps",Slow / Medium,"API-based, Local Inference",Very High,"FID Score, CLIP Score","FID (Lower-is-Better), CLIP (Higher-is-Better)",Visual coherence and relevance,"FID(Lower-is-Better) - Realism
CLIP (Higher-is-Better) -  Image-text alignment"
Generative AI - Vision,"StyleGAN, BigGAN, CycleGAN",Realistic image generation,Adversarial training,"tensorflow, pytorch","Face generation, Domain translation","latent_dim, num_blocks",Slow / Medium,"Docker, TorchServe",High,"Inception Score, FID","Inception (Higher-is-Better), FID (Lower-is-Better)",Visual realism and diversity,"Inception (Higher-is-Better) -  Diversity
FID(Lower-is-Better) - Realism"
Generative AI - Vision,CLIP,Vision-language understanding,Contrastive learning,"openai, clip-retrieval","Image search, Text-guided vision",embedding_dim,Fast / Fast,"Hugging Face, API",High,Zero-Shot Accuracy,Accuracy (Higher-is-Better),Cross-modal understanding,Accuracy (Higher-is-Better) -  Match between text and image
Generative AI - Multimodal,Flamingo (DeepMind),Visual-language fusion,Vision encoder + causal decoder,"deepmind, huggingface",Interactive Q&A,"num_layers, dim_head",Very Slow / Fast,"API, Research demo",Very High,"Accuracy, BLEU","Accuracy (Higher-is-Better), BLEU (Higher-is-Better)",Multimodal understanding and response,"Accuracy (Higher-is-Better) -  Output match
BLEU (Higher-is-Better) -  Text quality"
Generative AI - Multimodal,Gato (DeepMind),Generalist agent,Single transformer for many modalities,deepmind,"Control, vision, language","context_size, transformer_layers",Very Slow / Fast,Not public,Very High,Task Score,Score (Higher-is-Better),Unified multimodal control,Score (Higher-is-Better) -  General agent performance
Generative AI - Multimodal,"Gemini, Kosmos-1",Foundation models,"Multimodal, multilingual","google, microsoft",Multilingual AI agents,"layers, embedding_dim",Very Slow / Fast,"API, Cloud-based",Very High,Multimodal Accuracy,Accuracy (Higher-is-Better),General reasoning across inputs,Accuracy (Higher-is-Better) -  Reasoning ability
Reinforcement Learning - Value-Based,Q-Learning,Learning state-action values,"Tabular method, Bellman equation","gym, numpy","Gridworld, Game AI","learning_rate, discount_factor",Medium / Fast,Custom scripts,Medium,Cumulative Reward,Reward (Higher-is-Better),Measures total rewards received,Reward (Higher-is-Better) -  Long-term return
Reinforcement Learning - Value-Based,SARSA,On-policy learning,Updates using current policy,"gym, numpy",Robot navigation,"learning_rate, epsilon",Medium / Fast,Custom,Medium,Cumulative Reward,Reward (Higher-is-Better),Expected future reward from current policy,Reward (Higher-is-Better) -  Policy-followed performance
Reinforcement Learning - Deep Value-Based,Deep Q-Network (DQN),Scalable Q-Learning,Neural net approximator for Q-values,"stable-baselines3, keras-rl",Atari games,"epsilon_decay, replay_buffer_size",Slow / Medium,"Docker, TorchServe",High,Average Episode Reward,Reward (Higher-is-Better),Learned performance through gameplay,Reward (Higher-is-Better) -  Better actions over time
Reinforcement Learning - Policy-Based,Policy Gradient Methods,Optimizing stochastic policies,Gradient ascent on expected rewards,"tensorflow, pytorch",Continuous control tasks,"learning_rate, entropy_coef",Slow / Medium,Custom,High,Episode Return,Return (Higher-is-Better),Expected return from actions,Return (Higher-is-Better) -  Policy quality
Reinforcement Learning - Hybrid,Actor-Critic,Combines value & policy updates,Two networks: actor & critic,stable-baselines3,Robotic arm control,"gamma, advantage_fn",Slow / Medium,"Docker, TensorFlow",High,Total Reward,Reward (Higher-is-Better),Cumulative performance signal,Reward (Higher-is-Better) -  Balanced learning
Reinforcement Learning - Policy-Based,Proximal Policy Optimization (PPO),Stable policy updates,"Clipped objective, on-policy learning","stable-baselines3, ray[rllib]",Simulated environments,"clip_range, n_steps",Slow / Medium,"Docker, Cloud",High,"Episode Return, Reward Variance","Return (Higher-is-Better), Variance (Lower-is-Better)",Stability and performance,"Return (Higher-is-Better) -  Gains
Variance(Lower-is-Better) - Policy stability"
Reinforcement Learning - Policy-Based,Trust Region Policy Optimization (TRPO),Trust region for safe updates,KL divergence constrained learning,"rllab, garage",Simulated robotics,"max_kl, cg_iters",Slow / Medium,Custom,Very High,Average Reward,Reward (Higher-is-Better),Safeguarded learning updates,Reward (Higher-is-Better) -  Effective exploration
Reinforcement Learning - Hybrid,"Advantage Actor Critic (A2C, A3C)",Parallelized actor-critic,Shared model for multiple environments,"baselines, torch-ac",OpenAI gym tasks,"value_loss_coef, entropy_coef",Slow / Medium,Custom / Distributed,High,Total Return,Return (Higher-is-Better),Faster & distributed learning,Return (Higher-is-Better) -  Converged training efficiency
Reinforcement Learning - Model-Free,Monte Carlo Methods,Learning via episodic return,Delayed reward assignment,"gym, custom",Small MDPs,"episode_length, discount",Fast / Medium,Scripts,Medium,Average Return,Return (Higher-is-Better),Accuracy of return estimates,Return (Higher-is-Better) -  Learning from full episodes
Reinforcement Learning - Temporal Difference,"TD-Learning (TD(0), TD(λ))",Bootstrapped return prediction,Combines Monte Carlo & Bellman,"gym, numpy",Simple MDPs,"lambda, alpha",Fast / Fast,Local,Medium,Mean TD Error,TD Error (Lower-is-Better),Error in expected returns,TD Error(Lower-is-Better) - Estimate refinement
Graph ML,Graph Neural Networks (GNN),"Node classification, link prediction","Message passing, neighborhood aggregation","dgl, pytorch-geometric",Social network analysis,"num_layers, hidden_dim",Slow / Medium,"TorchServe, Docker",High,"Accuracy, F1","Accuracy (Higher-is-Better), F1 (Higher-is-Better)",Node-wise prediction performance,"Accuracy (Higher-is-Better) -  Node label match
F1 (Higher-is-Better) -  Balanced metric"
Graph ML,Graph Convolutional Networks (GCN),Graph-structured learning,Spectral convolutions on graphs,"dgl, pytorch-geometric",Citation networks,"hidden_units, dropout",Slow / Medium,TorchServe,High,Accuracy,Accuracy (Higher-is-Better),Node classification correctness,Accuracy (Higher-is-Better) -  Label prediction match
Graph ML,Graph Attention Networks (GAT),Attention over neighbors,Self-attention on graph nodes,"dgl, pytorch-geometric",Knowledge graphs,"num_heads, dropout",Slow / Medium,"Docker, TorchServe",High,"Accuracy, F1","Accuracy (Higher-is-Better), F1 (Higher-is-Better)",Context-aware prediction quality,"Accuracy (Higher-is-Better) -  Correct classification
F1 (Higher-is-Better) -  Performance measure"
