customer_id,age,income,employment_status,credit_card_limit,num_credit_cards,credit_score,loan_balance,avg_monthly_spend,missed_payments,region
CUST00023,19,78564.91,Freelancer,9588.32,3,634.0,3141.34,3114.06,1,West
CUST00024,38,50069.37,Employed,10868.36,4,718.0,9276.48,1215.44,1,Central
CUST00025,50,36930.15,Employed,12798.7,2,727.0,58275.35,1815.05,2,South
CUST00026,29,65356.87,Employed,7011.1,3,771.0,45597.54,2137.27,1,North
CUST00027,39,43529.3,Employed,10794.51,3,679.0,34883.32,1159.79,1,East
CUST00028,61,49634.95,Unemployed,12088.13,0,745.0,523.98,1401.62,2,Central
CUST00029,42,86505.52,Employed,14634.39,2,639.0,28743.13,2398.01,0,Central
CUST00030,66,76542.31,Freelancer,15843.67,1,661.0,22452.76,1502.16,3,East
CUST00031,44,63159.49,Retired,10209.58,2,714.0,10360.68,2323.13,1,East
CUST00032,59,34561.62,Employed,13415.92,1,647.0,5905.11,1422.24,1,Central
CUST00033,45,64227.93,Retired,1989.5,2,672.0,21133.53,3012.05,1,West
CUST00034,33,81253.15,Employed,14656.85,1,722.0,1698.02,394.41,2,East
CUST00035,32,52487.33,Employed,7822.35,0,680.0,15766.35,2405.18,1,Central
CUST00036,64,87022.28,Employed,9276.71,4,634.0,16715.44,1950.54,0,North
CUST00037,68,85854.91,Employed,11323.31,2,651.0,12101.32,881.6,0,East
CUST00038,61,93274.66,Unemployed,9539.67,3,666.0,31529.05,1666.18,1,South
CUST00039,69,66104.86,Employed,10589.36,0,709.0,6004.03,644.09,2,Central
CUST00040,20,71747.83,Freelancer,14763.08,3,664.0,9755.95,2011.4,0,East
CUST00041,54,88283.75,Freelancer,8847.34,3,558.0,21323.38,1441.88,1,North
CUST00042,68,68947.88,Employed,6739.23,1,719.0,18918.04,630.12,0,South
CUST00043,24,49975.32,Freelancer,15440.39,1,712.0,12398.82,1899.4,1,North
CUST00044,38,51029.14,Retired,11580.29,2,627.0,4764.59,1886.9,2,North
CUST00045,26,64771.1,Employed,15766.72,3,623.0,5227.42,3064.15,1,East
CUST00046,56,34188.77,Employed,12590.89,0,748.0,20275.8,2296.8,4,West
CUST00047,35,57134.82,Employed,6029.22,2,668.0,86.41,367.51,0,East
CUST00048,21,81930.94,Employed,11936.15,1,718.0,15864.98,1482.99,2,South
CUST00049,42,16174.92,Employed,7048.16,1,645.0,4280.74,2462.83,1,West
CUST00050,31,90689.64,Employed,10022.3,0,713.0,16766.67,823.94,1,South
CUST00051,67,82447.48,Unemployed,9772.86,2,634.0,3104.22,1337.06,3,Central
CUST00052,26,50804.71,Unemployed,5147.01,2,701.0,7084.63,1801.09,1,South
CUST00053,43,70867.82,Employed,7561.57,4,698.0,21025.15,1483.18,1,South
CUST00054,19,60062.95,Employed,16615.56,1,577.0,21109.78,2754.71,1,South
CUST00055,37,84599.81,Employed,10715.13,2,686.0,3529.95,1909.89,1,South
CUST00056,45,79653.66,Employed,9473.21,1,644.0,7080.84,1819.99,1,East
CUST00057,64,31998.59,Employed,15438.67,1,735.0,10472.57,1249.96,2,South
CUST00058,24,71745.25,Retired,8811.29,1,692.0,13277.66,1138.54,2,West
CUST00059,61,55887.44,Employed,9725.74,0,668.0,20347.21,1862.41,1,East
CUST00060,25,61656.65,Employed,12972.41,3,756.0,358.81,1751.88,4,North
CUST00061,64,45436.56,Employed,8797.79,1,585.0,1838.01,1069.73,1,East
CUST00062,52,94962.74,Freelancer,7760.44,2,776.0,2574.69,1940.42,0,West
CUST00063,31,80801.24,Freelancer,3238.73,2,774.0,3173.09,1834.43,1,East
CUST00064,34,45204.58,Employed,7190.51,1,661.0,461.12,1615.06,2,Central
CUST00065,53,33307.79,Employed,7161.92,2,724.0,37974.56,2515.5,1,Central
CUST00066,67,52286.55,Employed,10475.7,4,704.0,2654.55,1792.58,1,North
CUST00067,57,68690.05,Employed,8168.63,1,556.0,1147.37,1657.17,1,South
CUST00068,21,64804.12,Retired,16474.06,0,674.0,9572.09,2478.7,0,East
CUST00069,19,85062.66,Unemployed,6827.11,2,617.0,42499.92,1709.45,1,West
CUST00070,23,75798.39,Unemployed,14201.94,2,612.0,50025.18,1559.11,1,North
CUST00071,59,79391.38,Employed,10659.26,2,666.0,16923.84,1097.93,1,East
CUST00072,21,66537.11,Employed,12420.32,1,667.0,2946.59,1836.38,1,North
CUST00073,46,32214.03,Freelancer,12238.06,0,741.0,57.05,2359.46,2,East
CUST00074,35,56086.03,Employed,3345.29,5,642.0,6120.25,1549.82,1,West
CUST00075,43,81201.79,Retired,9965.34,0,660.0,2010.79,1002.41,0,Central
CUST00076,61,58969.54,Employed,9213.32,2,748.0,21103.31,2406.56,0,East
CUST00077,51,70061.81,Employed,6601.07,1,671.0,52157.83,2430.17,2,South
CUST00078,27,53625.03,Unemployed,11378.88,3,654.0,1311.54,2150.97,2,Central
CUST00079,53,39403.76,Employed,15149.62,2,723.0,7585.94,1857.66,2,South
CUST00080,31,57533.12,Employed,1980.99,2,707.0,34913.85,2052.06,2,West
CUST00081,48,66180.95,Employed,8396.59,3,685.0,19545.36,869.91,2,North
CUST00082,65,46886.25,Freelancer,6262.7,2,726.0,30578.01,1450.71,4,Central
CUST00083,32,55285.78,Employed,10215.33,0,618.0,38454.99,2205.35,2,West
CUST00084,25,41210.74,Employed,9023.14,5,651.0,7981.16,2003.0,2,Central
CUST00085,31,82384.9,Unemployed,8182.97,6,780.0,17746.0,2341.53,2,South
CUST00086,40,54110.88,Employed,12068.52,2,528.0,18533.75,2720.31,1,East
CUST00087,57,89055.11,Retired,14908.54,4,646.0,14946.9,1058.92,0,Central
CUST00088,38,90574.96,Employed,17983.96,7,621.0,5912.85,2090.14,1,North
CUST00089,33,58379.08,Freelancer,7781.11,0,684.0,26771.95,1644.98,1,South
CUST00090,62,39831.03,Employed,4537.37,3,710.0,21973.4,1532.12,3,North
CUST00091,35,18282.04,Freelancer,11677.59,1,735.0,8837.57,3283.11,3,East
CUST00092,64,30559.26,Freelancer,14831.45,1,659.0,8195.96,857.86,2,East
CUST00093,41,32523.3,Retired,12441.07,2,634.0,162.63,1690.82,2,East
CUST00094,43,87569.39,Employed,14819.04,3,607.0,27815.15,1658.24,1,North
CUST00095,42,62316.49,Employed,9323.54,1,682.0,5010.79,1828.6,1,North
CUST00096,62,67792.09,Unemployed,8171.28,2,786.0,9545.94,616.55,3,Central
CUST00097,58,15591.58,Employed,10346.31,1,651.0,7947.61,1211.33,3,East
CUST00098,46,36040.67,Employed,9008.34,2,676.0,17004.55,1829.31,2,South
CUST00099,32,77741.6,Retired,11989.28,0,687.0,7416.99,962.81,1,East
CUST00100,62,65735.48,Employed,12909.3,2,659.0,2971.95,2372.07,1,West
CUST00101,18,57055.89,Retired,13144.25,0,751.0,30444.56,2147.77,1,North
CUST00102,42,71296.85,Employed,11531.78,5,740.0,3041.77,847.67,6,East
CUST00103,24,92715.96,Freelancer,10737.47,3,721.0,432.62,1661.79,3,North
CUST00104,26,55579.15,Employed,12383.28,3,728.0,3276.81,2025.31,3,Central
CUST00105,41,61387.4,Employed,4111.02,1,646.0,9108.51,974.54,1,South
CUST00106,18,63851.94,Retired,10631.71,2,623.0,8254.63,853.52,2,Central
CUST00107,61,107842.19,Employed,10157.43,3,646.0,23868.16,1225.47,1,West
CUST00108,25,18012.87,Freelancer,10639.24,1,694.0,3252.42,3412.48,0,North
CUST00109,41,73664.46,Unemployed,9737.13,1,664.0,22415.58,2456.6,4,West
CUST00110,28,57703.96,Employed,11295.57,1,708.0,1520.0,1434.84,2,North
CUST00111,68,71335.43,Retired,8276.19,0,685.0,9627.14,1001.34,2,North
CUST00112,34,46852.55,Employed,13388.57,3,613.0,30073.8,1304.81,0,West
CUST00113,25,59020.7,Freelancer,11420.95,1,742.0,7989.27,2713.41,3,West
CUST00114,52,74228.21,Employed,10452.06,1,654.0,49566.86,3020.26,1,Central
CUST00115,52,122258.2,Freelancer,7907.45,3,719.0,14955.99,1312.88,1,East
CUST00116,50,76160.72,Unemployed,12445.95,1,638.0,21198.94,1986.65,0,Central
CUST00117,22,43038.69,Employed,10619.98,1,636.0,10695.9,1642.66,4,North
CUST00118,59,51524.81,Unemployed,7733.55,0,634.0,8425.41,2562.19,2,West
CUST00119,56,50931.72,Employed,9830.02,3,608.0,1327.19,1143.64,2,Central
CUST00120,58,24087.14,Employed,11887.25,0,610.0,1916.63,2387.4,1,South
CUST00121,45,53398.2,Employed,11654.72,2,699.0,12719.1,995.92,3,Central
CUST00122,24,74656.58,Employed,11461.03,2,634.0,14264.54,2368.65,2,South
CUST00123,26,34515.36,Employed,10277.59,4,697.0,62752.4,1289.56,4,East
CUST00124,25,80969.65,Employed,13077.46,3,685.0,29251.83,1611.33,4,Central
CUST00125,29,69755.5,Employed,13713.39,2,724.0,27915.37,1412.75,3,South
CUST00126,51,45315.33,Employed,12211.97,5,629.0,5065.77,2976.68,1,South
CUST00127,50,57169.41,Employed,8237.65,1,733.0,7959.86,2396.4,1,West
CUST00128,65,91966.44,Unemployed,6825.81,4,635.0,1615.93,1553.19,1,South
CUST00129,40,74670.96,Freelancer,8368.18,3,543.0,13067.48,1305.15,2,East
CUST00130,41,60175.67,Employed,15860.97,1,690.0,1081.11,2588.16,2,East
CUST00131,54,55246.33,Freelancer,10845.09,2,636.0,8881.37,-239.0,2,South
CUST00132,52,61532.18,Unemployed,16379.33,1,755.0,12527.57,2087.51,1,Central
CUST00133,61,49764.73,Freelancer,9639.4,3,695.0,3885.15,1224.43,0,Central
CUST00134,57,17905.01,Employed,9223.56,3,676.0,22404.47,3152.5,0,Central
CUST00135,39,100843.56,Employed,9777.83,1,690.0,16851.92,3438.43,0,North
CUST00136,44,63106.5,Freelancer,9723.48,3,655.0,2400.16,1818.41,0,North
CUST00137,52,67962.95,Freelancer,7679.05,3,764.0,61730.92,1580.73,5,South
CUST00138,18,58841.85,Employed,6553.46,4,653.0,11714.78,1840.8,3,East
CUST00139,52,45297.66,Employed,11504.01,3,703.0,401.6,1427.03,0,East
CUST00140,54,56281.51,Unemployed,13164.7,4,639.0,6464.28,1323.34,0,South
CUST00141,64,28012.1,Unemployed,17334.94,2,680.0,58172.13,1940.74,2,West
CUST00142,31,105541.73,Freelancer,8698.86,1,618.0,34889.25,2174.25,3,East
CUST00143,20,35309.76,Employed,8942.03,1,691.0,2458.32,1879.96,0,South
CUST00144,18,39360.67,Employed,7686.31,2,683.0,28965.92,1974.06,1,East
CUST00145,22,51194.82,Employed,13377.18,0,707.0,14451.16,1420.47,0,North
CUST00146,43,85761.51,Employed,12444.96,1,703.0,329.61,1239.71,0,South
CUST00147,31,60290.18,Employed,7369.2,3,681.0,21246.99,1233.86,2,West
CUST00148,56,35277.28,Freelancer,7293.41,1,782.0,7986.78,2263.17,1,South
CUST00149,44,85086.77,Employed,12857.54,1,679.0,7566.17,1847.77,3,Central
CUST00150,26,74620.01,Freelancer,11149.59,2,682.0,7238.43,1920.92,1,West
CUST00151,32,70768.7,Employed,12275.17,3,676.0,13615.85,2004.8,1,West
CUST00152,32,74314.68,Employed,7351.69,0,690.0,18787.71,1765.31,0,East
CUST00153,43,107887.24,Employed,4366.83,1,666.0,15646.64,1865.07,1,West
CUST00154,59,103701.9,Employed,7375.1,3,662.0,4151.37,2577.49,0,East
CUST00155,30,46265.69,Freelancer,12063.3,0,718.0,18403.62,2266.15,1,South
CUST00156,68,92477.7,Employed,16333.17,6,678.0,2184.37,1696.59,1,North
CUST00157,49,67663.36,Employed,8711.61,2,733.0,53284.31,1516.69,4,Central
CUST00158,56,69981.92,Employed,16827.57,1,585.0,9625.79,2416.37,1,West
CUST00159,66,26154.58,Employed,12489.46,0,756.0,1436.87,1999.66,3,North
CUST00160,69,56592.28,Freelancer,5820.9,1,725.0,12892.45,1615.21,5,North
CUST00161,49,43743.53,Employed,10642.1,3,677.0,12905.1,1025.19,1,East
CUST00162,21,76561.18,Freelancer,12591.92,1,676.0,593.77,2816.43,1,East
CUST00163,47,81421.61,Unemployed,2723.55,3,712.0,163.84,1123.77,0,Central
CUST00164,54,18510.27,Employed,11933.35,0,629.0,83210.28,1970.66,1,South
CUST00165,40,59559.3,Employed,13518.16,3,682.0,7416.53,2895.14,2,East
CUST00166,56,82437.23,Freelancer,11196.6,2,688.0,4224.62,1595.27,3,South
CUST00167,62,56266.42,Freelancer,9814.84,1,578.0,11901.97,1772.71,2,South
CUST00168,32,74581.27,Employed,9481.22,1,697.0,125.59,2312.24,3,North
CUST00169,60,67023.31,Employed,9306.03,6,612.0,194.68,1084.12,1,West
CUST00170,46,66833.2,Employed,6472.06,8,734.0,1794.93,798.12,0,North
CUST00171,53,54573.7,Employed,7937.43,5,747.0,24332.17,1585.74,1,Central
CUST00172,30,35668.38,Employed,8750.22,0,756.0,4280.23,1848.42,1,West
CUST00173,49,37569.4,Employed,10340.48,1,664.0,10501.28,1841.64,2,North
CUST00174,24,74187.05,Employed,8329.56,1,663.0,3796.72,2650.32,0,Central
CUST00175,68,60389.17,Employed,7392.61,1,581.0,11806.21,1232.46,1,West
CUST00176,39,57229.76,Employed,12279.31,2,714.0,10663.73,1713.77,1,South
CUST00177,45,51522.2,Freelancer,11111.84,2,605.0,7680.51,2704.36,1,Central
CUST00178,19,53896.22,Employed,8382.31,0,608.0,8516.18,1633.29,2,South
CUST00179,59,80938.24,Retired,11518.84,1,665.0,15892.81,2992.19,4,West
CUST00180,62,53295.12,Employed,8640.53,2,625.0,27692.02,1659.42,1,Central
CUST00181,23,33178.71,Unemployed,10189.2,0,632.0,5771.91,1383.58,1,Central
CUST00182,45,74873.04,Employed,12925.13,2,682.0,11393.97,1776.5,2,North
CUST00183,45,55902.47,Unemployed,8188.78,2,724.0,28880.26,1955.76,1,South
CUST00184,61,60627.92,Employed,6482.77,0,707.0,2757.5,1553.07,1,South
CUST00185,61,92151.57,Employed,9564.6,2,689.0,58351.9,2038.88,1,Central
CUST00186,37,59588.79,Retired,5909.6,2,737.0,20832.2,1710.49,0,Central
CUST00187,47,65783.67,Employed,9167.65,0,686.0,6838.27,2561.69,2,East
CUST00188,28,36421.53,Retired,9158.09,4,654.0,7054.35,2104.74,1,North
CUST00189,45,55606.61,Employed,2608.95,2,641.0,3447.76,1806.46,0,South
CUST00190,42,72190.52,Employed,11591.91,0,708.0,4677.89,1610.1,0,South
CUST00191,56,28892.53,Employed,9451.93,1,625.0,13265.89,2281.7,2,Central
CUST00192,50,64016.9,Freelancer,13545.69,2,697.0,56.18,1818.7,2,South
CUST00193,18,62015.82,Employed,10646.6,0,659.0,351.49,1528.51,3,West
CUST00194,44,60825.75,Retired,12206.83,4,638.0,64550.22,1366.12,4,Central
CUST00195,69,80743.18,Employed,13570.12,3,637.0,4028.59,2219.64,0,South
CUST00196,30,66688.77,Freelancer,9604.85,1,728.0,26541.02,1517.02,2,West
CUST00197,58,89561.44,Employed,9997.53,0,637.0,14216.76,1620.05,1,Central
CUST00198,20,40128.21,Employed,5279.37,4,666.0,8858.32,2131.95,1,East
CUST00199,56,62718.49,Employed,13718.61,0,657.0,19761.63,2442.54,4,South
CUST00200,23,61689.34,Employed,9562.91,2,733.0,769.74,2157.09,1,North
CUST00201,25,38614.91,Employed,6982.81,1,757.0,21163.63,2311.66,1,West
CUST00202,44,79125.9,Employed,12219.17,0,725.0,29172.61,2225.75,2,Central
CUST00203,26,106493.47,Employed,3460.66,3,661.0,4932.33,1804.98,1,South
CUST00204,54,59659.88,Employed,8712.18,2,697.0,5384.79,2036.75,1,South
CUST00205,50,70100.42,Employed,12724.93,0,635.0,1630.76,2895.54,0,South
CUST00206,68,61690.37,Employed,8686.83,2,691.0,29058.08,1682.44,0,East
CUST00207,59,45728.31,Employed,7846.23,1,592.0,24746.83,1144.53,1,South
CUST00208,61,23584.79,Retired,8751.54,6,692.0,8306.31,284.17,0,North
CUST00209,41,45884.53,Retired,3970.21,0,677.0,7115.45,2961.35,5,North
CUST00210,32,32160.83,Employed,12146.44,5,702.0,8366.84,2988.48,1,East
CUST00211,49,94082.04,Retired,9631.34,1,679.0,8179.86,1205.49,0,East
CUST00212,49,57697.81,Unemployed,9183.03,1,722.0,8421.7,2571.58,4,West
CUST00213,41,53081.61,Employed,9193.99,2,642.0,2362.85,2419.52,1,South
CUST00214,58,77783.08,Employed,10042.24,4,718.0,203.53,2184.73,5,South
CUST00215,69,37564.98,Retired,11960.31,4,704.0,21559.6,2101.92,2,Central
CUST00216,66,44662.72,Unemployed,9843.81,1,734.0,6318.2,1353.22,1,West
CUST00217,66,61361.45,Freelancer,5915.09,2,738.0,10126.34,1877.59,2,East
CUST00218,69,80575.38,Freelancer,11726.55,3,632.0,5510.34,2008.78,0,Central
CUST00219,29,70033.7,Employed,11495.71,1,706.0,7210.26,1841.84,0,East
CUST00220,56,64966.5,Employed,10616.58,2,622.0,1167.21,1767.16,1,North
CUST00221,19,61562.35,Employed,13225.72,2,738.0,6937.37,2580.23,1,North
CUST00222,20,68004.72,Employed,10091.14,3,637.0,9329.59,2409.41,2,East
CUST00223,66,64033.06,Employed,13334.13,2,661.0,26832.15,2324.55,1,North
CUST00224,54,39400.55,Employed,14221.63,2,691.0,5833.66,2359.43,2,North
CUST00225,66,60921.58,Employed,11746.94,5,717.0,1390.68,1937.6,3,Central
CUST00226,34,38526.23,Employed,7756.2,3,699.0,21356.45,2499.6,1,East
CUST00227,66,61621.65,Employed,9607.64,2,718.0,7065.31,1081.13,0,Central
CUST00228,19,50387.04,Employed,13716.57,3,681.0,37040.84,1841.73,2,West
CUST00229,19,110787.63,Employed,5507.12,1,692.0,47925.87,2224.83,0,North
CUST00230,45,59202.11,Employed,8824.14,2,592.0,30818.58,2126.07,3,East
CUST00231,40,31915.21,Unemployed,8971.11,5,731.0,3855.28,2024.61,0,Central
CUST00232,54,57316.4,Retired,7404.37,3,665.0,4391.63,2356.25,4,North
CUST00233,49,70387.17,Employed,12618.64,2,658.0,23707.09,2664.63,1,West
CUST00234,50,93467.28,Employed,11130.45,0,777.0,8861.83,1161.88,2,South
CUST00235,18,48210.95,Freelancer,7866.82,4,545.0,5303.09,1980.22,2,West
CUST00236,36,28351.44,Employed,11816.54,1,685.0,5220.14,1366.6,2,West
CUST00237,19,76336.74,Freelancer,9524.75,0,568.0,12922.28,2442.02,0,North
CUST00238,61,32388.03,Employed,7329.42,4,697.0,33811.24,2234.39,3,South
CUST00239,43,51276.89,Freelancer,7861.24,0,645.0,14471.46,1217.8,1,North
CUST00240,49,54847.59,Retired,11308.15,3,533.0,14524.82,1795.99,1,East
CUST00241,23,58607.33,Unemployed,12817.03,2,734.0,20612.11,899.32,0,North
CUST00242,49,73783.29,Employed,8539.7,2,616.0,21425.53,2369.92,1,East
CUST00243,21,46327.31,Freelancer,11633.32,2,727.0,36027.84,1478.5,1,Central
CUST00244,28,54525.41,Freelancer,14745.26,0,631.0,2653.07,1121.87,1,North
CUST00245,34,59714.59,Freelancer,6223.39,4,657.0,62632.86,1592.63,3,West
CUST00246,55,62991.96,Employed,11067.01,1,566.0,5981.02,2150.31,2,North
CUST00247,41,61956.54,Freelancer,12491.97,2,701.0,4960.26,1972.14,2,South
CUST00248,22,68720.12,Employed,9714.55,2,651.0,10693.73,1506.54,2,West
CUST00249,69,76876.79,Employed,13714.85,1,662.0,4605.22,1737.03,0,North
CUST00250,51,67852.68,Employed,16596.51,2,675.0,3977.3,1624.94,2,West
CUST00251,23,69071.71,Employed,11030.07,3,598.0,51081.13,1239.55,2,East
CUST00252,39,28355.54,Unemployed,9299.23,1,715.0,1647.13,680.6,3,East
CUST00253,28,61004.55,Unemployed,12930.95,1,652.0,68992.24,1796.14,1,South
CUST00254,65,69590.15,Employed,12526.21,5,795.0,14611.9,2151.0,2,North
CUST00255,33,74578.82,Unemployed,2443.51,1,656.0,47759.75,1790.43,2,West
CUST00256,50,46152.98,Retired,9991.79,3,661.0,34153.9,3029.85,0,East
CUST00257,26,46819.21,Employed,8816.2,1,612.0,15678.88,1442.53,2,South
CUST00258,23,48517.99,Employed,11190.12,1,599.0,13368.05,1774.87,1,South
CUST00259,33,70728.28,Employed,9419.03,1,724.0,73658.53,2091.66,2,West
CUST00260,46,80677.62,Employed,9744.47,0,733.0,10860.67,2064.42,2,East
CUST00261,20,51850.8,Employed,7410.36,4,652.0,2954.07,1646.46,2,South
CUST00262,37,78159.25,Employed,12203.59,2,686.0,74307.55,1767.47,1,Central
CUST00263,53,62469.6,Employed,14965.13,0,742.0,5862.85,1750.0,0,West
CUST00264,36,57514.28,Retired,7456.98,3,694.0,1372.1,2209.96,4,North
CUST00265,43,55772.32,Unemployed,5808.83,2,704.0,18928.97,1383.06,3,Central
CUST00266,20,74932.23,Employed,10060.01,1,684.0,8860.19,339.75,3,West
CUST00267,36,66511.56,Employed,9914.03,0,647.0,7365.93,1594.13,0,South
CUST00268,37,105516.51,Employed,13512.8,2,699.0,14979.12,2812.71,1,South
CUST00269,49,42955.51,Employed,6312.42,0,773.0,814.5,2280.77,1,North
CUST00270,24,70362.03,Employed,8386.13,2,654.0,17970.95,858.82,2,East
CUST00271,69,49415.98,Employed,3556.89,1,723.0,10501.01,2205.06,0,North
CUST00272,58,42614.26,Employed,14124.95,3,689.0,10107.28,1925.06,3,East
CUST00273,50,59782.66,Employed,10751.63,0,651.0,34543.86,1575.04,2,Central
CUST00274,57,62747.05,Employed,8609.7,5,725.0,26686.57,1153.13,3,Central
CUST00275,56,118363.47,Freelancer,6033.19,1,719.0,11376.05,1311.85,4,South
CUST00276,35,56317.08,Employed,6308.57,1,709.0,12953.38,1464.04,3,North
CUST00277,57,37396.43,Employed,11242.8,3,767.0,24673.15,2901.15,3,West
CUST00278,18,65460.21,Employed,6677.72,4,772.0,7947.24,2184.06,0,West
CUST00279,28,18507.2,Retired,10312.02,3,683.0,16686.16,1374.25,0,West
CUST00280,45,58160.86,Freelancer,16128.83,3,675.0,11673.25,1474.8,1,West
CUST00281,42,60320.51,Employed,8957.24,2,609.0,10386.07,1777.53,1,South
CUST00282,67,75892.01,Retired,7115.67,2,757.0,62718.99,1540.09,0,West
CUST00283,40,79472.44,Employed,11146.02,2,676.0,264.94,1809.41,3,South
CUST00284,48,49928.61,Retired,6322.62,5,650.0,8032.54,1712.56,1,West
CUST00285,47,56987.72,Employed,15159.95,1,633.0,39927.08,1858.36,0,South
CUST00286,59,44677.58,Employed,14210.86,1,633.0,39497.24,601.01,1,North
CUST00287,52,37438.75,Unemployed,9507.49,1,768.0,20657.89,2280.17,0,Central
CUST00288,24,66197.9,Employed,7308.12,0,725.0,13443.88,1463.92,0,South
CUST00289,33,34528.29,Unemployed,8722.69,0,606.0,17608.73,2344.11,1,South
CUST00290,43,51707.46,Employed,9113.0,0,608.0,4373.87,3117.64,1,Central
CUST00291,65,40096.52,Unemployed,11150.7,3,686.0,10053.05,928.4,0,South
CUST00292,69,70993.66,Employed,13118.9,1,629.0,11520.03,1859.06,1,North
CUST00293,66,96028.6,Employed,6890.46,2,667.0,987.63,1547.95,4,East
CUST00294,19,33968.24,Retired,13032.73,0,758.0,30173.41,2036.89,3,Central
CUST00295,18,22939.63,Freelancer,11853.06,1,733.0,9151.07,535.59,1,South
CUST00296,65,57502.26,Retired,8476.63,1,594.0,34374.93,1585.06,1,North
CUST00297,29,60313.96,Freelancer,6739.86,5,629.0,7413.46,1308.83,1,West
CUST00298,22,64373.19,Unemployed,10348.7,1,692.0,7885.72,2776.22,2,Central
CUST00299,54,51073.59,Employed,6821.23,4,736.0,4200.0,2915.58,0,West
CUST00300,49,55987.21,Employed,13071.04,1,639.0,15505.97,1628.33,3,North
CUST00301,26,67350.21,Employed,6628.35,1,698.0,11927.61,1111.65,2,Central
CUST00302,58,80808.62,Employed,11643.12,2,657.0,36622.36,1296.84,2,South
CUST00303,52,20899.02,Freelancer,9758.15,1,768.0,8411.72,1823.43,0,East
CUST00304,36,52621.21,Employed,8318.13,1,711.0,15665.05,959.2,1,East
CUST00305,65,64276.18,Retired,9691.51,4,670.0,18442.6,2111.44,2,South
CUST00306,33,41640.48,Employed,13239.95,3,605.0,5781.76,1682.24,3,North
CUST00307,20,94623.39,Freelancer,6423.23,2,627.0,31907.57,2013.8,2,West
CUST00308,37,47291.8,Employed,8763.53,3,554.0,7191.14,2036.64,3,North
CUST00309,41,59174.15,Employed,7744.77,2,694.0,15215.14,2627.65,1,Central
CUST00310,50,71120.44,Retired,9884.15,2,713.0,14350.46,2181.01,1,East
CUST00311,41,48174.3,Employed,7945.96,2,716.0,8207.36,1975.78,0,East
CUST00312,69,23068.54,Employed,4695.76,0,649.0,3037.99,1949.55,3,South
CUST00313,28,51426.91,Employed,6834.59,2,744.0,13465.63,613.04,2,Central
CUST00314,66,80588.81,Employed,14913.27,1,759.0,7062.89,1907.8,0,Central
CUST00315,25,53262.1,Employed,10740.18,1,647.0,7148.58,2167.28,1,East
CUST00316,53,43071.31,Unemployed,10637.09,5,739.0,10186.35,1727.27,3,West
CUST00317,55,78513.44,Employed,9152.16,4,687.0,16962.73,2798.89,2,Central
CUST00318,57,53384.5,Employed,9845.12,1,654.0,19618.87,908.76,2,North
CUST00319,37,49796.78,Employed,8710.56,3,742.0,8354.94,1356.08,1,South
CUST00320,52,62989.12,Freelancer,11580.79,1,620.0,1915.46,1418.86,1,North
CUST00321,65,75415.0,Freelancer,10302.43,5,606.0,23532.68,1805.56,0,Central
CUST00322,42,107634.27,Employed,6486.2,2,660.0,16603.32,1412.11,1,South
CUST00323,52,76544.72,Employed,10761.17,2,669.0,24193.61,1055.67,0,East
CUST00324,42,83196.8,Employed,2623.77,5,598.0,5694.51,1586.53,0,North
